"C Lombardia Silver Girone B classifica marcatori in base ai
  punti segnati"
100,Borsani Davide,Hydrotherm Busto Arsizio,P,1994,180,113,19,"5,95"
101,Molgora Davide,Baskettiamo Vittuone,P,1997,170,112,21,"5,33"
102,Moalli Dario,CRAC Bionics Buccinasco,A/C,1991,193,111,10,"11,10"
103,Colombo Cristian,GS Casoratese,P/G,2000,181,111,28,"3,96"
104,Molteni Tommaso,Team ABC Cantù,P,1999,185,109,28,"3,89"
105,Oldani Fabio,Baskettiamo Vittuone,C,1994,190,107,29,"3,69"
106,Berra Gabriele,Aba Legnano,G/A,2000,194,106,7,"15,14"
107,Cattalani Andrea,Cassano Magnago,G/A,1996,180,103,11,"9,36"
108,Romei Giovanni,Basket Rovello Porro,G/A,1994,194,100,16,"6,25"
109,Gubitta Mattia,Verbano Luino,G,1982,185,100,27,"3,70"
110,Dojkic,GS Casoratese, , , ,99,7,"14,14"
111,Pizzi Marco,Pallacanestro Castronno,C,1990,193,98,20,"4,90"
112,Chiesa Alessandro,Milano 3 Basiglio,C,1998,202,98,26,"3,77"
113,Bartesaghi Matteo,Groane Lentate,A,1992,193,96,22,"4,36"
114,Battistini Tommaso,Cassano Magnago,G,1997,180,96,27,"3,56"
115,Tenconi Fabio,Rams Daverio,C,1986,203,94,24,"3,92"
116,Charles Pena Miguel,Aba Legnano,A,1997, ,93,15,"6,20"
117,Zacchello Paolo,Cassano Magnago,A,1979,193,93,18,"5,17"
118,Malabarba,Baskettiamo Vittuone, , , ,91,12,"7,58"
119,Olgiati Lorenzo,Team ABC Cantù,A/C,1999,192,90,21,"4,29"
120,Fasani Marco,Aba Legnano,G,2000, ,89,15,"5,93"
121,Putnam Richard,Rams Daverio,A,1995, ,86,18,"4,78"
122,Romei Longhena Agostino,Basket Rovello Porro,C,1991,198,85,16,"5,31"
123,Ruzzoni Marco,Team ABC Cantù,G,1999,183,83,20,"4,15"
124,Ferrario Lorenzo,Hydrotherm Busto Arsizio,A,2000,191,81,24,"3,38"
125,Battiston,GS Casoratese, , , ,80,25,"3,20"
126,Colombo Matteo,Aba Legnano,A,1998, ,77,29,"2,66"
127,Casciano Alessandro,CRAC Bionics Buccinasco,P,1996,175,74,9,"8,22"
128,Biason Marco,Verbano Luino,A,1983,180,74,18,"4,11"
129,Romanoni Andrea,CRAC Bionics Buccinasco,G,1988,180,71,8,"8,88"
130,Coppolino Emanuele,Baskettiamo Vittuone, , , ,71,12,"5,92"
131,Valeri Paolo,Milano 3 Basiglio,P,1998,190,69,23,"3,00"
132,Zattra Davide,Hydrotherm Busto Arsizio,C,1994,201,68,10,"6,80"
133,Fant Lorenzo,CRAC Bionics Buccinasco,P,1983,185,67,12,"5,58"
134,Bet Loris,Team ABC Cantù,C,1999, ,63,11,"5,73"
135,Ferrari Matteo,Milano 3 Basiglio,A,1998,194,58,24,"2,42"
136,Fornari Matteo,CRAC Bionics Buccinasco,G,1995,178,57,12,"4,75"
137,Gaye Khadim,Pallacanestro Castronno,C,1997,200,55,15,"3,67"
138,Mascheroni Luca,Basket Rovello Porro,G/A,1998,189,55,21,"2,62"
139,Casadio Filippo,Groane Lentate,G,1997,185,54,15,"3,60"
140,Basciu Samuele,Baskettiamo Vittuone,A,1999,185,53,13,"4,08"
141,Remonti Marco,Rams Daverio,G/A,1986,192,53,13,"4,08"
142,Tosciri Marco,Baskettiamo Vittuone,G,2000,180,52,13,"4,00"
143,Pondri Mattia,Baskettiamo Vittuone,A,1998,180,52,14,"3,71"
144,Tomaselli Jacopo,Basket Rovello Porro,P,1998,178,52,24,"2,17"
145,Buzzi Simone,Cassano Magnago,C,1996,192,49,24,"2,04"
146,Checo Vasquez,ASD Phoenix Iria Voghera,P, ,181,48,5,"9,60"
147,Aldizio Alessandro,Cassano Magnago,G,1998,173,48,15,"3,20"
148,De Vita Andrea,Pallacanestro Castronno,C,1995,187,48,24,"2,00"
149,Cola Francesco,Pallacanestro Castronno,A,1984,196,46,12,"3,83"
150,Castelli Federico,Basket Rovello Porro,A/C,1996,194,46,23,"2,00"
151,El Rawi Marco,Milano 3 Basiglio,C,1999,200,44,24,"1,83"
152,Roncari,Aba Legnano, , , ,42,8,"5,25"
153,Tentorio Francesco,Aba Legnano,P,2000, ,42,22,"1,91"
154,Panizza Giorgio,Aba Legnano,G/A,1999,187,41,24,"1,71"
155,Secco Filippo,Aba Legnano,A,1997,182,40,26,"1,54"
156,Caffarra,CRAC Bionics Buccinasco, , , ,39,6,"6,50"
157,Pena,Aba Legnano, , , ,39,8,"4,88"
158,Carandini Riccardo,ASD Phoenix Iria Voghera,G,1998, ,39,20,"1,95"
159,Ratti Ariele,Aironi Pallacanestro Robbio,A,1995,195,38,23,"1,65"
160,Marghella Davide,Hydrotherm Busto Arsizio,A,1995,196,38,23,"1,65"
161,Boieri Giuseppe,GS Casoratese,A,2000,181,37,23,"1,61"
162,Reyes Darryl Delos,Milano 3 Basiglio,G,1997,182,31,23,"1,35"
163,Plebani Simone,Aba Legnano,A,2000, ,30,16,"1,88"
164,Cipolletta Matteo,Verbano Luino,G,1997,182,29,25,"1,16"
165,Prataviera Lorenzo,CRAC Bionics Buccinasco,P,1991,182,27,3,"9,00"
166,Sampietro Fabio,Groane Lentate,G,1998,180,27,18,"1,50"
167,Donega Luca,Basket Rovello Porro,P/G,2000,188,26,11,"2,36"
168,Olivi,ASD Phoenix Iria Voghera, , , ,26,18,"1,44"
169,Papatolo Nunzio,Groane Lentate,G,1987,186,25,6,"4,17"
170,Martinoni Thomas,Basket Rovello Porro,A,1998,194,25,18,"1,39"
171,Barozzi Carlo,Rams Daverio,G,1999,183,25,23,"1,09"
172,Palavra Dias,GS Casoratese, , , ,22,3,"7,33"
173,Cardani,Groane Lentate, , , ,22,7,"3,14"
174,Brambilla Filippo,Groane Lentate,P,1995,185,22,9,"2,44"
175,Nasini,Team ABC Cantù, , , ,21,6,"3,50"
176,Pol Francesco,Rams Daverio,C,1998,200,21,21,"1,00"
177,Borsani Riccardo,Team ABC Cantù,A/C,1999,190,20,11,"1,82"
178,Pandolfi Riccardo,GS Casoratese,A,2000,184,20,12,"1,67"
179,Baroni,Baskettiamo Vittuone, , , ,18,11,"1,64"
180,Arisi Alessandro,CRAC Bionics Buccinasco, , , ,17,11,"1,55"
181,Colombo,Cassano Magnago, , , ,16,21,"0,76"
182,Chinellato,Team ABC Cantù, , , ,15,1,"15,00"
183,Castelli Alessandro,Team ABC Cantù,C,2000, ,14,10,"1,40"
184,Dalla Costa,GS Casoratese, , , ,13,6,"2,17"
185,Gatti,Team ABC Cantù, , , ,12,4,"3,00"
186,Ramazzina Riccardo,Hydrotherm Busto Arsizio,G,1997,180,12,9,"1,33"
187,Barbiero Davide,Pallacanestro Castronno,P/G,2000,185,12,17,"0,71"
188,Cavagnera Riccardo,Milano 3 Basiglio,G,1998,186,11,6,"1,83"
189,Bolongaro,CRAC Bionics Buccinasco, , , ,11,9,"1,22"
190,D'Orsi Gabriele,Baskettiamo Vittuone,G,1999,175,10,3,"3,33"
191,Porta Simone,Baskettiamo Vittuone,P,1997,180,10,5,"2,00"
192,Piatti,Rams Daverio, , , ,10,11,"0,91"
193,Meroni,Groane Lentate, , , ,10,21,"0,48"
194,Lanzani Tommaso,Basket Rovello Porro,P/G,1995,184,9,1,"9,00"
195,"Casciano R,",CRAC Bionics Buccinasco, , , ,9,1,"9,00"
196,Civaschi Alessandro,Aba Legnano,C,1999, ,9,5,"1,80"
197,Morlacchi Riccardo,Baskettiamo Vittuone,A,1997,185,8,7,"1,14"
198,Vitella Andrea,Verbano Luino,P,1998,178,8,16,"0,50"
199,Montani,Pallacanestro Castronno, , , ,7,6,"1,17"
200,Cagliani Luca,Verbano Luino,P,1999,176,7,16,"0,44"
201,Coraini Andrea,Aba Legnano,P/G,2000, ,6,2,"3,00"
202,Ferrazzi Matteo,GS Casoratese,A/C,2000, ,6,8,"0,75"
203,Lobianco A.,ASD Phoenix Iria Voghera, , , ,5,1,"5,00"
204,Nobili,CRAC Bionics Buccinasco, , , ,5,1,"5,00"
205,Gervasini,Pallacanestro Castronno, , , ,5,6,"0,83"
206,Bursi Federico,CRAC Bionics Buccinasco, , , ,5,8,"0,63"
207,Carrara Tobia,CRAC Bionics Buccinasco, , , ,4,4,"1,00"
208,Guardato,Cassano Magnago, , , ,4,5,"0,80"
209,Milani Mattia,Cassano Magnago,P,1990,180,4,7,"0,57"
210,Milini,Aba Legnano, , , ,3,1,"3,00"
211,Galbusera,Basket Rovello Porro, , , ,3,2,"1,50"
212,Cattaneo,Basket Rovello Porro, , , ,3,3,"1,00"
213,Pelucchi Nicolò,Rams Daverio,A, , ,3,3,"1,00"
214,Carlesso Luigi Mirko,Pallacanestro Castronno,G/A,1999,188,3,4,"0,75"
215,Montoli,Cassano Magnago, , , ,3,6,"0,50"
216,Boev,Team ABC Cantù, , , ,2,1,"2,00"
217,Rampoldi,Basket Rovello Porro, , , ,2,2,"1,00"
218,Piva,Groane Lentate, , , ,2,4,"0,50"
219,Magni,GS Casoratese, , , ,2,8,"0,25"
220,Cavallini Lorenzo,Verbano Luino,G,1999, ,2,9,"0,22"
221,Badalotti Davide,Hydrotherm Busto Arsizio,C,1997,190,1,14,"0,07"
 , , , , , , , , 
"C  Lombardia Silver  Girone B classifica marcatori in base alla
  media giornate  punti segnati"
n°,Giocatore,Squadra,Ruolo,Anno,Cm ,P.S.,P.G,Media
1,Vescovi Edoardo,Pallacanestro Castronno,A,1996,195,559,27,"20,70"
2,Vai Federico,Hydrotherm Busto Arsizio,G/A,1995,195,299,15,"19,93"
3,Di Giovanni Stefano,Baskettiamo Vittuone,P/G,1993,190,196,10,"19,60"
4,Grimaldi,Cassano Magnago, , , ,179,10,"17,90"
5,Terzaghi Manuel,Verbano Luino,A,1992,201,479,27,"17,74"
6,Roveda Edoardo,Aba Legnano,P,1998, ,245,14,"17,50"
7,Azzimonti Edoardo,Hydrotherm Busto Arsizio,C,1988,200,504,30,"16,80"
8,Bonora Fabio,Milano 3 Basiglio,A,1997,196,433,26,"16,65"
9,Poggiolini Riccardo,Cassano Magnago,P/G,1986,180,441,27,"16,33"
10,Kisonga Alexandre Joao,CRAC Bionics Buccinasco,C,1984,201,178,11,"16,18"
11,Digiuliomaria Christian,Team ABC Cantù,C,1979,210,468,29,"16,14"
12,Biraghi Francesco,Aba Legnano,P,1999,185,425,27,"15,74"
13,Turano Federico,GS Casoratese,G,1996,186,466,30,"15,53"
14,Berra Gabriele,Aba Legnano,G/A,2000,194,106,7,"15,14"
15,Chinellato,Team ABC Cantù, , , ,15,1,"15,00"
16,Tonella Roberto,Baskettiamo Vittuone,G,1995,190,434,29,"14,97"
17,Lanzi Lorenzo,Basket Rovello Porro,P,1992,172,400,27,"14,81"
18,Novati Marco,Groane Lentate,A,1994,188,369,26,"14,19"
19,Arui Alessandro,Hydrotherm Busto Arsizio,P/G,1991,180,397,28,"14,18"
20,Dojkic,GS Casoratese, , , ,99,7,"14,14"
,,,,,,,,
