"C Gold Lombardia Girone A classifica marcatori in base ai punti
  segnati"
41,Furlanetto Luca,Robur Saronno,A,1981,197,225,25,"9,00"
42,Zandalasini Andrea,Omnia Basket Pavia,A,1989,193,225,26,"8,65"
43,Longoni Alessandro,Virtus Cermenate,A,1995,194,222,25,"8,88"
44,Grugnetti Fabio,Nuova Pall. Vigevano 1955,P,1987,173,220,23,"9,57"
45,Reali Dino Marco,Pallacanestro Milano,A,1981,197,219,25,"8,76"
46,Tonella Simone,OSL Resistor Garbagnate,P/G,1988,190,215,26,"8,27"
47,Bosio Massimiliano,OSL Resistor Garbagnate,A,1989,196,210,20,"10,50"
48,Zattra Davide,Arcisate Valceresio,C,1994,205,206,24,"8,58"
49,Ukaegbu Chris,Virtus Cermenate,A,1996,197,204,24,"8,50"
50,Pairone Nicolas,Omnia Basket Pavia,A,1987,197,199,20,"9,95"
51,Lepri Jacopo,Arcisate Valceresio,P,1991,181,197,15,"13,13"
52,Bellotti Giorgio,Pallacanestro Milano,C,1990,205,195,18,"10,83"
53,Pozzi Jacopo,Nuova Pall. Vigevano 1955,A,1987,202,193,23,"8,39"
54,Vanzulli Vittorio,Cistellum Cislago,G/A,1989,186,193,24,"8,04"
55,Cappellotto Francesco,OSL Resistor Garbagnate,C,1983,200,192,25,"7,68"
56,Sanlorenzo Valerio,Pavia Basket ASD,C,1983,200,191,22,"8,68"
57,Meroni Paolo,Cistellum Cislago,P/G,1990,194,191,22,"8,68"
58,Vercesi Davide,Opera Basket Club,A,1996,193,191,25,"7,64"
59,Anzivino Roberto,Virtus Cermenate,A,1984,200,191,25,"7,64"
60,Angiolini Alberto,7 Laghi Gazzada Schianno,P,1973,188,186,24,"7,75"
61,Mangiapane Fabio,OSL Resistor Garbagnate,G,1986,195,182,21,"8,67"
62,Guidi Alessandro,Nervianese 1919,P/G,1996,187,180,25,"7,20"
63,Fossati Roberto,Pavia Basket ASD,P,1978,187,178,26,"6,85"
64,Iurato Carmelo,Opera Basket Club,G,1994,182,177,12,"14,75"
65,Di Meco Manuel,Robur Saronno,C,1997,196,177,26,"6,81"
66,Tornari Matteo,Virtus Cermenate,P/G,1995,175,170,25,"6,80"
67,Pellizzoni Riccardo,Virtus Cermenate,G,1996,190,170,26,"6,54"
68,Caffarra Stefano,OSL Resistor Garbagnate,A,1995,190,165,26,"6,35"
69,Gay Dario,Omnia Basket Pavia,P,1996,175,164,26,"6,31"
70,Perego Andrea,Pallacanestro Milano,P,1987,183,162,21,"7,71"
71,Cristelli Davide,Omnia Basket Pavia,A/C,1977,204,162,26,"6,23"
72,Arioli Federico,Milano 3 Basket Basiglio,A/C,1990,197,161,17,"9,47"
73,Freri Federico,Pavia Basket ASD,A,1996,202,160,23,"6,96"
74,Eriforio Luca,Cistellum Cislago,G,1991,195,160,26,"6,15"
75,Frontini Giovanni,Nervianese 1919,A,1994,195,158,26,"6,08"
76,Zennaro Giulio,Robur Saronno,P,1995,xxx,153,26,"5,88"
77,Bertoglio Nicola,Pallacanestro Milano,G/A,1993,187,149,24,"6,21"
78,Cappellari Alberto,Opera Basket Club,P/G,1988,188,149,26,"5,73"
79,Somaschini Elia,7 Laghi Gazzada Schianno,G/A,1992,190,148,24,"6,17"
80,Leva Matteo,Robur Saronno,G,1989,189,148,25,"5,92"
81,Villa Lorenzo,Virtus Cermenate,A,1995,200,147,26,"5,65"
82,Bialkowski Michal Mateusz,Pavia Basket ASD,A/C,1995,200,144,24,"6,00"
83,Ferretti Alete,Basket Team Mortara,A,1995,196,144,26,"5,54"
84,Gurioli Gianluca,Opera Basket Club,A/C,1983,192,140,26,"5,38"
85,Bianchi Omar,Virtus Cermenate,C,1996,201,138,23,"6,00"
86,Hamadi Giosuè,7 Laghi Gazzada Schianno,G,1996,185,137,24,"5,71"
87,Stipcic Dino,Pallacanestro Milano,A,1989,196,135,10,"13,50"
88,Inoa Piantni,Cistellum Cislago,G,1988,193,132,14,"9,43"
89,Bologna Nicola,Arcisate Valceresio,P/G,1997,180,132,25,"5,28"
90,Minoli Tommaso,Pavia Basket ASD,P,1994,190,131,23,"5,70"
91,Bandera Gianluca,Nervianese 1919,A,1989,193,129,25,"5,16"
92,Guffanti Andrea,Robur Saronno,G/A,1987,190,125,23,"5,43"
93,Tessitore Gennaro,Nuova Pall. Vigevano 1955,G,1982,190,122,8,"15,25"
94,Reali Alessandro,Basket Team Mortara,P,1998,185,116,18,"6,44"
95,Colombo Andrea,Opera Basket Club,G,1995,185,115,17,"6,76"
96,Broggi Mattia,Virtus Cermenate,P,1992,180,113,26,"4,35"
97,Laudi Fabio,Arcisate Valceresio,G,1991,184,111,17,"6,53"
98,Danelutti Julian,Robur Saronno,A/C,1988,198,107,12,"8,92"
99,Tedoldi Marco,OSL Resistor Garbagnate,A,1994,197,107,24,"4,46"
100,Brandini Mirko,Basket Team Mortara,P,1994,195,106,25,"4,24"
101,Sifford Terris,Pavia Basket ASD,C,1983,200,105,14,"7,50"
102,Bellotti Luca,7 Laghi Gazzada Schianno,P,1993,180,104,11,"9,45"
103,Roppo Simone,Opera Basket Club,G,1989,190,101,13,"7,77"
104,Saccà Roberto,Pallacanestro Milano,G,1987,190,100,17,"5,88"
105,Pizzul Dario,Pallacanestro Milano,A,1994,193,98,25,"3,92"
106,Appendini Stefano,Nuova Pall. Vigevano 1955,P/G,1993,190,96,24,"4,00"
107,Moretti Mattia,OSL Resistor Garbagnate,A/C,1990,195,94,25,"3,76"
108,Battistini Tommaso,Arcisate Valceresio,G,1995,180,94,26,"3,62"
109,Pontisso Stefano,Nuova Pall. Vigevano 1955,G,1993,191,89,23,"3,87"
110,Papatolo Nunzio,Virtus Cermenate,G,1987,186,89,23,"3,87"
111,Delmenico Giorgio,Milano 3 Basket Basiglio,P,1994,193,85,23,"3,70"
112,Assui Sophony,Arcisate Valceresio,C,1996,199,84,24,"3,50"
113,Bianchi Carlo,Milano 3 Basket Basiglio,A,1982,195,77,23,"3,35"
114,Fontana Davide,Virtus Cermenate,G/A,1996,190,76,23,"3,30"
115,Soresina Guido,Milano 3 Basket Basiglio,C,1987,201,73,20,"3,65"
116,Ballarate Matteo,Virtus Cermenate,G,1989,191,72,9,"8,00"
117,Maffezzoli Matteo Alessio,Opera Basket Club,P,1991,180,69,12,"5,75"
118,Saibene Nicolò,Cistellum Cislago,G,1993,182,67,26,"2,58"
119,Bossi Luca,Basket Team Mortara,G,1996,190,66,21,"3,14"
120,Vescovi Edoardo,7 Laghi Gazzada Schianno,A,1996,195,64,24,"2,67"
121,Mori Matteo,Milano 3 Basket Basiglio,C,1997,197,61,19,"3,21"
122,Cattaneo Michele,Pallacanestro Milano,P,2000,193,59,24,"2,46"
123,Colombo Tommaso,Nuova Pall. Vigevano 1955, ,1993, ,58,10,"5,80"
124,Croci Andrea,Nervianese 1919,P/G,1996,184,58,23,"2,52"
125,Capella Lorenzo,Milano 3 Basket Basiglio,A,1990,190,56,19,"2,95"
126,Vanoni Lorenzo,Arcisate Valceresio,G,1997,190,53,24,"2,21"
127,Meroni Federico,Cistellum Cislago,C,1995,192,52,10,"5,20"
128,Daverio Nicolò,Opera Basket Club,A/C,1992,196,52,17,"3,06"
129,Perego Davide,Nervianese 1919,A,1996,200,51,23,"2,22"
130,Campeggi Michele,Omnia Basket Pavia,G/A,1985,192,49,25,"1,96"
131,Dejace Michel,7 Laghi Gazzada Schianno,A,1995,xxx,47,7,"6,71"
132,Tava Edoardo,Omnia Basket Pavia,G,1996,188,45,15,"3,00"
133,Lenotti Fabio,7 Laghi Gazzada Schianno,A/C,1992,198,43,24,"1,79"
134,Tiengo Filippo,Cistellum Cislago,G,1997,182,36,19,"1,89"
135,Filic Nikola,Pavia Basket ASD,G,1997,190,35,15,"2,33"
136,Longo Alessandro,Arcisate Valceresio,A,1996,186,34,16,"2,13"
137,Torriani Luca,Nuova Pall. Vigevano 1955,A,1997,207,32,18,"1,78"
138,Bonora Fabio,Milano 3 Basket Basiglio,A,1997,196,29,18,"1,61"
139,Pelusi Alessandro,Nervianese 1919,A,1996,190,22,18,"1,22"
140,Piermattei Alessandro,Robur Saronno,P,1987,190,21,6,"3,50"
141,Ripamonti Pietro,OSL Resistor Garbagnate,P,1998,178,20,17,"1,18"
142,Piva Dario,Opera Basket Club,G/A,1994,190,18,7,"2,57"
143,Moretti Paolo,Nuova Pall. Vigevano 1955,P/G,1984,185,16,6,"2,67"
144,Sparascio Luca,Arcisate Valceresio,G,2000,184,15,10,"1,50"
145,Botta Andrea,Opera Basket Club,G/A,1998,182,13,9,"1,44"
146,Pezzati Enrico,Pallacanestro Milano, ,1997, ,13,14,"0,93"
147,Bonissi,Nervianese 1919, , , ,11,4,"2,75"
148,Sita Nicola,Opera Basket Club,P,1996,174,11,6,"1,83"
149,Mezza Edoardo,Basket Team Mortara,A,1996,196,11,6,"1,83"
150,Toia Stefano,OSL Resistor Garbagnate,A,1996,200,11,13,"0,85"
151,Frattini Davide,Nervianese 1919,A,1996,195,11,20,"0,55"
152,Pavanello Edoardo,Nuova Pall. Vigevano 1955,P,2001,xxx,10,10,"1,00"
153,Tagliabue Filippo,Robur Saronno,C,1988,204,9,5,"1,80"
154,Pezzo Lorenzo,Pavia Basket ASD,G,1996,185,9,18,"0,50"
155,Sacchetti Andrea,Pallacanestro Milano,C,1997,200,8,8,"1,00"
156,Manzoni Fabio,Milano 3 Basket Basiglio,G,1996,185,7,12,"0,58"
157,Martinoli Ottavio Cesare,Nuova Pall. Vigevano 1955, ,2000, ,6,6,"1,00"
158,Fiore Matteo,Robur Saronno,P,1996,180,6,6,"1,00"
159,Bigoni Filippo,Cistellum Cislago,P,1999,180,5,4,"1,25"
160,Magnaghi Leonardo,Pallacanestro Milano,A,1998,193,5,10,"0,50"
161,Rochiltzer Michele,Omnia Basket Pavia,G,1999, ,4,3,"1,33"
162,Daolio Gabriele,Arcisate Valceresio,P,2000, ,4,4,"1,00"
163,Bologna Matteo,7 Laghi Gazzada Schianno,P,1993,xxx,4,8,"0,50"
164,Invernizzi Bruno,Basket Team Mortara,P,1999,185,4,9,"0,44"
165,Brignoli Riccardo,Arcisate Valceresio,G,2000,176,3,2,"1,50"
166,Savini Niccolò,Omnia Basket Pavia, ,2000, ,3,3,"1,00"
167,Riboli,OSL Resistor Garbagnate, , , ,3,4,"0,75"
168,Vai,Omnia Basket Pavia, , , ,3,5,"0,60"
169,Rimoldi Lorenzo,Cistellum Cislago,G/A,2000,188,3,8,"0,38"
170,Aceti Oscar,Robur Saronno,C,1997,200,2,1,"2,00"
171,Coleman Jordan,Omnia Basket Pavia,G,1992,195,2,1,"2,00"
172,Chiesa Alessandro,Milano 3 Basket Basiglio,C,1998,xxx,2,1,"2,00"
173,Trezzi Andrea,Pallacanestro Milano,C,2000, ,2,1,"2,00"
174,Gennarelli,Pallacanestro Milano, , , ,2,1,"2,00"
175,Cinquepalmi Nicholas,Milano 3 Basket Basiglio,A,1999,xxx,2,2,"1,00"
176,Zanasca Elia,7 Laghi Gazzada Schianno,A,1998,180,2,4,"0,50"
177,Vitellaro Zuccarello Marco,Arcisate Valceresio,G,2000, ,2,4,"0,50"
178,Taini Gioele,Nervianese 1919,A/C,1999, ,2,5,"0,40"
179,Marcantoni Nicolò,Arcisate Valceresio,G,2000, ,2,7,"0,29"
180,Rao Patrick,Opera Basket Club,G/A,1998,184,2,7,"0,29"
 , , , , , , , , 
"C  Gold Lombardia Girone A classifica
  marcatori in base alla media giornate 
  punti segnati"
n°,Giocatore,Squadra,Ruolo,Anno,Cm ,P.S.,P.G,Media
1,Bazzoli Riccardo,Pallacanestro Milano,A,1983,198,474,23,"20,61"
2,Allegri Alessio,OSL Resistor Garbagnate,G/A,1982,192,511,25,"20,44"
3,Henderson Marshall James,Pavia Basket ASD,G,1990,190,297,15,"19,80"
4,Cugini Lorenzo Ricardo,Omnia Basket Pavia,A,1993,200,290,15,"19,33"
5,Boffini Francesco,Basket Team Mortara,P/G,1985,188,462,25,"18,48"
6,Passerini Federico,7 Laghi Gazzada Schianno,P/G,1993,186,475,26,"18,27"
7,Giocondo Giuseppe,Milano 3 Basket Basiglio,G,1989,187,436,25,"17,44"
8,Venturelli Michele,Nuova Pall. Vigevano 1955,G,1982,188,439,26,"16,88"
9,Corno Alessandro,Nervianese 1919,G,1992,192,434,26,"16,69"
10,Jovic Aleksandar,Basket Team Mortara,C,1998,208,327,20,"16,35"
11,Clerici Matteo,Arcisate Valceresio,A/C,1992,195,390,24,"16,25"
12,Terzaghi Manuel,7 Laghi Gazzada Schianno,A,1992,201,381,24,"15,88"
13,Tessitore Gennaro,Nuova Pall. Vigevano 1955,G,1982,190,122,8,"15,25"
14,Mossi Marco,Nuova Pall. Vigevano 1955,A,1988,200,355,24,"14,79"
15,Iurato Carmelo,Opera Basket Club,G,1994,182,177,12,"14,75"
16,Cattaneo Nicolò,Basket Team Mortara,G,1988,187,383,26,"14,73"
17,Cacciani Stefano,Robur Saronno,A,1984,197,368,26,"14,15"
18,Infanti Alessandro,Omnia Basket Pavia,G/A,1985,195,350,25,"14,00"
19,Di Rauso Giovanni,Nervianese 1919,C,1997,200,353,26,"13,58"
20,Stipcic Dino,Pallacanestro Milano,A,1989,196,135,10,"13,50"
,,,,,,,,
