"C Lombardia Silver Girone A classifica marcatori in base ai
  punti segnati"
27,Visini Matteo,Groane Lentate,A,1988,192,328,27,"12,15"
28,Gardini Andrea,Verbano Luino,G/A,1997,187,323,28,"11,54"
29,Smaniotto Simone,Casa Gioventù Erba,P,1991,175,323,29,"11,14"
30,Susnjar Martin,Aironi Pallacanestro Robbio,C,1979,205,316,21,"15,05"
31,Cogliati Stefano,GS Casoratese,P,1992,182,313,30,"10,43"
32,Pariani Marcello,Basketball Gallarate,A/C,1990,205,310,30,"10,33"
33,Binda Matteo,Pallacanestro Castronno,G,1987,186,302,29,"10,41"
34,Ilic Marko,Aironi Pallacanestro Robbio,A/C,1982,196,301,30,"10,03"
35,Cattalani Andrea,Rams Daverio,G/A,1996,180,299,28,"10,68"
36,Campana Francesco,Aironi Pallacanestro Robbio,G,1992,185,298,27,"11,04"
37,Fedrigo Giacomo,Basketball Gallarate,A,1990,196,295,29,"10,17"
38,Bergamaschi Marco,Amici Pall. Varese,P/G,1998,196,293,29,"10,10"
39,De Piccoli Ezio,Olimpia Cadorago,A/C,1974,197,283,28,"10,11"
40,Gatto Cristian,Basketball Gallarate,G/A,1996,192,278,30,"9,27"
41,Barbieri Roberto,Pallacanestro Castronno,G,1997,185,276,28,"9,86"
42,Bianco Antonio,Cassano Magnago,G,1993,183,274,27,"10,15"
43,De Vita Gianmarco,Amici Pall. Varese,A,1997,195,273,25,"10,92"
44,Pehar Marin,Verbano Luino,A/C,1990,196,268,27,"9,93"
45,Caccianiga Stefano,Rams Daverio,A,1994,190,263,28,"9,39"
46,Carpani Silvio,ABC Cantù,G,1989,190,262,27,"9,70"
47,Bottinelli Luca,Groane Lentate,A,1989,194,254,28,"9,07"
48,Busana Omar,Rams Daverio,P,1987,185,251,29,"8,66"
49,Cadario Davide,Amici Pall. Varese,P,1999,180,248,30,"8,27"
50,Battilana Luca,Aba Legnano,A,1998,188,246,23,"10,70"
51,De Lucia Federico,Pall. Cerro Maggiore,C,1989,203,246,28,"8,79"
52,Roveda Edoardo,Aba Legnano,P,1998,xxx,245,28,"8,75"
53,Redepaolini Davide,Cassano Magnago,A/C,1988,192,244,30,"8,13"
54,Bernasconi Andrea,Pallacanestro Castronno,C,1984,200,241,24,"10,04"
55,Del Pero Gabriele,Groane Lentate,P,1994,185,241,26,"9,27"
56,Romanò Giovanni,Casa Gioventù Erba,A,1998,195,241,30,"8,03"
57,Zocchi Paolo,Cassano Magnago,A/C,1982,198,231,30,"7,70"
58,Rigamonti Andrea,Casa Gioventù Erba,P/G,1997,180,228,28,"8,14"
59,Zacchello Paolo,Cassano Magnago,A/C,1979,193,223,22,"10,14"
60,Palazzi Nicolò,Verbano Luino,P,1992,178,223,29,"7,69"
61,Pastori Jacopo,Pall. Cerro Maggiore,C,1995,195,223,29,"7,69"
62,Tognati Edoardo,Aba Legnano,G,1998,182,222,24,"9,25"
63,Menarini Massimo,Aironi Pallacanestro Robbio,P,1978,184,219,29,"7,55"
64,Garavaglia Stefano,Sportlandia Tradate,P/G,1996,184,217,30,"7,23"
65,Antonini Valerio,Pall. Cerro Maggiore,G/A,1985,190,215,28,"7,68"
66,Pagani Davide,ABC Cantù,P,1987,170,214,25,"8,56"
67,Marranzano Giorgio,Pall. Cerro Maggiore,G/A,1980,186,213,26,"8,19"
68,Bianchi,Olimpia Cadorago, , , ,204,23,"8,87"
69,Crisci Nicola,ABC Cantù,A/C,1978,200,203,22,"9,23"
70,Spreafico Marco,Casa Gioventù Erba,A,1989,189,200,29,"6,90"
71,Parravicini Matteo,Amici Pall. Varese,P/G,2001,183,195,24,"8,13"
72,Pifferi Cesare,ABC Cantù,A,1984,188,194,28,"6,93"
73,Terraneo Davide,Rovello Porro,P/G,1983,186,193,24,"8,04"
74,Tesovic Tomislav,Aironi Pallacanestro Robbio,A/C,1985,205,192,16,"12,00"
75,Fontanel Fulvio,Pallacanestro Castronno,C,1970,208,188,14,"13,43"
76,Padova Andrea,Sportlandia Tradate,G/A,1989,190,188,20,"9,40"
77,Rocca Gabriele,Cassano Magnago,A/C,1982,189,186,19,"9,79"
78,Zugno Cesare,ABC Cantù,P,1998,184,186,23,"8,09"
79,Gorla Jacopo,Olimpia Cadorago,P/G,1996,181,186,29,"6,41"
80,Leo Luca,Pallacanestro Castronno,A/C,1977,195,184,29,"6,34"
81,Diakhate Ibrahima,Cassano Magnago,C,1986,206,183,27,"6,78"
82,Crippa Michele,Casa Gioventù Erba,C,1997,202,180,28,"6,43"
83,Turconi Matteo,Sportlandia Tradate,A,1980,195,179,25,"7,16"
84,Meroni Marco,Groane Lentate,C,1988,197,176,29,"6,07"
85,Zecchillo Simone,Rams Daverio,P,1994,187,176,29,"6,07"
86,Bugatti Fabio,ABC Cantù,A,1998,193,173,29,"5,97"
87,Rinke Andreas,Aba Legnano,P,1997,182,165,11,"15,00"
88,Colombo Oscar,Verbano Luino,P/G,1995,178,165,29,"5,69"
89,Gubitta Mattia,Verbano Luino,G,1982,185,162,30,"5,40"
90,Ilic Aleksandar,Aironi Pallacanestro Robbio,C,1988,210,160,12,"13,33"
91,Gergati Francesco,Olimpia Cadorago,P/G,1987,191,160,12,"13,33"
92,Dushi Giulio,Aba Legnano,C,1998,204,158,27,"5,85"
93,Fogato Francesco,Basketball Gallarate,P/G,1988,187,158,29,"5,45"
94,Zanzi Filippo,Amici Pall. Varese,A,1997,190,156,24,"6,50"
95,Riva,ABC Cantù,xxx,1988,xxx,156,26,"6,00"
96,Longhena Agostino Romei,Rovello Porro,C,1991,198,156,28,"5,57"
97,Bigoni Jacopo,Olimpia Cadorago,G,1995,180,155,27,"5,74"
98,Ponchiroli Federico,Olimpia Cadorago,C,1984,194,151,29,"5,21"
99,Fortini Stefano,Olimpia Cadorago,G/A,1991,190,148,28,"5,29"
100,Pancino Riccardo,Casa Gioventù Erba,C,1987,201,147,30,"4,90"
101,Cesana Paolo,Casa Gioventù Erba,A,1993,198,146,28,"5,21"
102,Losa Riccardo,Rovello Porro,G/A,1994,192,140,21,"6,67"
103,Biason Marco,Verbano Luino,A/C,1983,180,137,27,"5,07"
104,Picotti Stefano,Basketball Gallarate,P,1989,182,137,28,"4,89"
105,Pessina Daniele,Rovello Porro,A,1997,188,133,28,"4,75"
106,Memelli Filippo,GS Casoratese,P/G,2000,184,132,30,"4,40"
107,Croci Jacopo,Rams Daverio,A,1986,192,131,28,"4,68"
108,Galluccio Nicolas,Verbano Luino,A/C,1994,192,126,30,"4,20"
109,Beretta Simone,Sportlandia Tradate,A,1993,192,124,21,"5,90"
110,Lanzani Tommaso,Sportlandia Tradate,P,1995,185,123,15,"8,20"
111,Ivone Davide,Pallacanestro Castronno,P,1984,180,118,30,"3,93"
112,Bianchi Federico,Rovello Porro,A/C,1996,196,117,25,"4,68"
113,Grieco Federico,GS Casoratese,A,1995,192,116,29,"4,00"
114,Vitella Luca,Verbano Luino,G,1996,190,114,23,"4,96"
115,Cassano Michele,Pall. Cerro Maggiore,P,1991,168,110,17,"6,47"
116,Amadio Daniele,ABC Cantù,A,1984,190,109,25,"4,36"
117,Maiocchi Valerio,Rovello Porro,A/C,1996,195,108,28,"3,86"
118,Bolzonella Francesco,Basketball Gallarate,G,1986,172,106,30,"3,53"
119,Gastoldi Francesco,Aba Legnano,A/C,1997,196,105,24,"4,38"
120,Missoni Ottavio,Pallacanestro Castronno,C,1984,201,103,11,"9,36"
121,Franco Tommaso,ABC Cantù,G,1998,188,98,24,"4,08"
122,Castagnetti,GS Casoratese, , , ,97,12,"8,08"
123,Corti Gianluca,Casa Gioventù Erba,A,1995,192,97,29,"3,34"
124,Mottini Andrea,Amici Pall. Varese,G/A,1999,198,95,21,"4,52"
125,Brambilla Filippo,Groane Lentate,P,1995,185,95,28,"3,39"
126,Secco Filippo,Aba Legnano,A,1997,192,93,27,"3,44"
127,Bartesaghi Matteo,Groane Lentate,A,1992,187,93,27,"3,44"
128,De Conto Paolo,Aba Legnano,C,1999,xxx,92,18,"5,11"
129,Maresca Edoardo,ABC Cantù,A,1998,198,91,20,"4,55"
130,Ivanaj Nikola,Amici Pall. Varese,G/A,2000,195,90,22,"4,09"
131,Bacuzzi Valerio,Olimpia Cadorago,C,1991,200,89,15,"5,93"
132,Puglisi Sebastiano,Pall. Cerro Maggiore,P/G,1987,180,88,18,"4,89"
133,Castiglioni Luca,Sportlandia Tradate,P/G,1996,177,87,30,"2,90"
134,Quaglia Marcello,Basketball Gallarate,P,1996,175,82,25,"3,28"
135,Figuriello Jacopo,Sportlandia Tradate,G,1996,176,76,29,"2,62"
136,Cipriano Giuseppe,Olimpia Cadorago,A,1993,190,75,23,"3,26"
137,Aldizio Alessandro,Amici Pall. Varese,G,1998,173,75,25,"3,00"
138,Girardin Riccardo,Amici Pall. Varese,C,1997,190,69,30,"2,30"
139,Corti Alessandro,Casa Gioventù Erba,G,1990,188,65,18,"3,61"
140,Ambrosini Akeem ,Sportlandia Tradate,G/A,1998,189,63,13,"4,85"
141,Panizza Giorgio,Aba Legnano,G/A,1996,187,63,22,"2,86"
142,Bernardi Gioele,Aba Legnano,P,1999,xxx,62,12,"5,17"
143,Colombo Matteo,Aba Legnano,A,1998,188,60,25,"2,40"
144,Rossi Manuel,Amici Pall. Varese,P,1997,182,56,9,"6,22"
145,Colombo Alessandro,Casa Gioventù Erba,A,1998,190,55,27,"2,04"
146,Fiamberti Marco,Amici Pall. Varese,G,1999,188,54,28,"1,93"
147,Casadio,Groane Lentate, , , ,52,10,"5,20"
148,Andreello Paolo,Aironi Pallacanestro Robbio,A,1984,195,52,16,"3,25"
149,Tomasini Luca,Basketball Gallarate,G,1996,187,51,23,"2,22"
150,Santinon Marco,Pallacanestro Castronno,A/C,1980,195,50,16,"3,13"
151,Galletti Mattia,Rovello Porro,G,1996,xxx,49,19,"2,58"
152,Castelli Federico,ABC Cantù,A,1996,195,49,27,"1,81"
153,Carlesso Mirko Luigi,Pallacanestro Castronno,G/A,1999,188,49,27,"1,81"
154,Caccianiga Davide,Rams Daverio,A,1999,184,48,16,"3,00"
155,Cipolletta Matteo,Verbano Luino,G,1997,182,48,28,"1,71"
156,Beri Federico,Basketball Gallarate,A,1997,197,41,11,"3,73"
157,Pellegrini Daniele,Rams Daverio,A,1986,191,41,29,"1,41"
158,Borsani Matteo,Sportlandia Tradate,A,1999,192,39,14,"2,79"
159,Banfi Mattia,ABC Cantù,G,1998,183,39,19,"2,05"
160,Clerici Riccardo,Sportlandia Tradate,G,1996,178,35,14,"2,50"
161,Ferrabue Amos,Amici Pall. Varese,A,1998,187,34,4,"8,50"
162,D'Amico Riccardo,Sportlandia Tradate,A,1998,189,34,15,"2,27"
163,Devita,Pallacanestro Castronno, , , ,34,20,"1,70"
164,Colombo Cristian,GS Casoratese,P/G,2000,181,33,24,"1,38"
165,Restelli Alessandro,Olimpia Cadorago,P/G,1997,190,33,24,"1,38"
166,Buzzi Simone,Sportlandia Tradate,C,1996,193,33,26,"1,27"
167,Del Bosco Samuele,Amici Pall. Varese,G,1998,188,31,16,"1,94"
168,Nagari Gabriele,Aironi Pallacanestro Robbio,P,1999,175,28,19,"1,47"
169,Dalla Costa Thomas,GS Casoratese,A,2000,191,28,20,"1,40"
170,Puricelli Matteo,Cassano Magnago,G,1997,179,28,21,"1,33"
171,Mascheroni Luca,Rovello Porro,G/A,1998,190,28,22,"1,27"
172,Dugo Lyone,Groane Lentate,A,1996,198,25,23,"1,09"
173,Mariani,Pall. Cerro Maggiore, , , ,25,26,"0,96"
174,Milani Federico,Cassano Magnago,P/G,1996,187,24,17,"1,41"
175,Morandi Gabriele,Sportlandia Tradate,G,1998,180,24,19,"1,26"
176,Buschini Francesco,Cassano Magnago,C,1982,205,23,4,"5,75"
177,Ciapponi Nicolas,Olimpia Cadorago,P,1999,178,21,20,"1,05"
178,Cedrati Lorenzo,Aba Legnano,A,1999,xxx,17,11,"1,55"
179,Pol Francesco,Rams Daverio,C,1998,200,17,29,"0,59"
180,Frison,Aba Legnano, , , ,14,8,"1,75"
181,Presentazi Alessandro,Rams Daverio,G,1995,181,14,16,"0,88"
182,Sironi Daniele,Casa Gioventù Erba,G/A,1991,183,14,28,"0,50"
183,Ferrario,Basketball Gallarate, , , ,13,8,"1,63"
184,Vitella Andrea,Verbano Luino,P,1998,178,12,5,"2,40"
185,Tomaselli Jacopo,ABC Cantù,P,1998,176,12,8,"1,50"
186,Lacarbonara,Groane Lentate, , , ,12,14,"0,86"
187,Garofalo Marco,Aba Legnano,A,1999,xxx,11,4,"2,75"
188,Cukay,Amici Pall. Varese, , , ,10,5,"2,00"
189,Martinoni Thomas,Rovello Porro,A,1998,190,10,15,"0,67"
190,Sampietro Fabio,Olimpia Cadorago,G,1998,180,10,16,"0,63"
191,Pandolfi Riccardo,GS Casoratese,A,2000,184,9,13,"0,69"
192,Anzini,Basketball Gallarate, , , ,8,7,"1,14"
193,Panozzio Matteo,Aironi Pallacanestro Robbio,G,1999,188,8,9,"0,89"
194,Gianoli,Pallacanestro Castronno, , , ,7,4,"1,75"
195,Colmegna,Rovello Porro, , , ,7,7,"1,00"
196,Canavesi,Pallacanestro Castronno, , , ,7,15,"0,47"
197,Gardelli,Amici Pall. Varese, , , ,6,1,"6,00"
198,Rosella,Aba Legnano, , , ,6,2,"3,00"
199,Morandi,Pall. Cerro Maggiore, , , ,6,7,"0,86"
200,Colombo Ludovico,Pallacanestro Castronno,A,1997,190,6,8,"0,75"
201,Barozzi Carlo,Rams Daverio,G,1999,183,5,10,"0,50"
202,Marinoni Marco,Rovello Porro, , , ,4,2,"2,00"
203,Salem Sami Ben,ABC Cantù,A/C,1998,190,4,6,"0,67"
204,Dell'Acqua,Pall. Cerro Maggiore, , , ,4,8,"0,50"
205,Tomasini Luca,GS Casoratese,A,2000,188,4,9,"0,44"
206,Cagliani Luca,Verbano Luino,P,1999,176,4,13,"0,31"
207,Gaye,Pallacanestro Castronno, , , ,3,1,"3,00"
208,Livio ,Groane Lentate, , , ,3,1,"3,00"
209,Tosi paolo,Aba Legnano,A,1999,202,3,2,"1,50"
210,Valsecchi,Casa Gioventù Erba, , , ,3,8,"0,38"
211,Bellotti,Amici Pall. Varese, , , ,2,1,"2,00"
212,Vignati Riccardo,Aba Legnano,G,1996,180,2,1,"2,00"
213,Perri,Rams Daverio, , , ,2,1,"2,00"
214,Donegà,Rovello Porro, , , ,2,1,"2,00"
215,Borgonovo,Casa Gioventù Erba, , , ,2,2,"1,00"
216,Angeretti Mauro,Groane Lentate,G,1993,183,2,3,"0,67"
217,Dell'Acqua,Basketball Gallarate, , , ,2,3,"0,67"
218,Macchi Matteo,Sportlandia Tradate,A,1998,189,2,3,"0,67"
219,Ferrara Nicolò,Aironi Pallacanestro Robbio,G,2001,176,2,9,"0,22"
220,Fongaro,Pallacanestro Castronno, , , ,2,12,"0,17"
221,Meraviglia,Pall. Cerro Maggiore, , , ,1,2,"0,50"
222,Citterio,Casa Gioventù Erba, , , ,1,8,"0,13"
 , , , , , , , , 
"C  Lombardia Silver  Girone A classifica marcatori in base alla
  media giornate  punti segnati"
n°,Giocatore,Squadra,Ruolo,Anno,Cm ,P.S.,P.G,Media
1,Tacchini Eric,Olimpia Cadorago,A,1992,195,536,30,"17,87"
2,Beretta Giorgio,Pall. Cerro Maggiore,A,1984,189,518,29,"17,86"
3,Turano Federico,GS Casoratese,G,1996,186,415,24,"17,29"
4,De Tomasi Alessandro,Pall. Cerro Maggiore,A/C,1980,192,444,29,"15,31"
5,Susnjar Martin,Aironi Pallacanestro Robbio,C,1979,205,316,21,"15,05"
6,Rinke Andreas,Aba Legnano,P,1997,182,165,11,"15,00"
7,Lombardi Paolo,Pallacanestro Castronno,P,1980,178,434,29,"14,97"
8,Novati Marco,Groane Lentate,A,1994,188,431,29,"14,86"
9,Remonti Marco,Rams Daverio,G/A,1986,192,439,30,"14,63"
10,Poggiolini Riccardo,Cassano Magnago,P/G,1986,180,352,25,"14,08"
11,Ciardiello Luca,Basketball Gallarate,G,1984,182,421,30,"14,03"
12,Spertini Roberto,Verbano Luino,G,1986,186,335,24,"13,96"
13,Ceppi Stefano,Casa Gioventù Erba,P/G,1996,180,404,29,"13,93"
14,Barbisan Massimo,Rovello Porro,A,1993,192,339,25,"13,56"
15,Fontanel Fulvio,Pallacanestro Castronno,C,1970,208,188,14,"13,43"
16,Ilic Aleksandar,Aironi Pallacanestro Robbio,C,1988,210,160,12,"13,33"
17,Gergati Francesco,Olimpia Cadorago,P/G,1987,191,160,12,"13,33"
18,Livio Alberto,Sportlandia Tradate,G,1994,191,385,30,"12,83"
19,Lagger Simone,GS Casoratese,P,1995,192,381,30,"12,70"
20,Ballabio Riccardo,ABC Cantù,P,1998,180,367,29,"12,66"
,,,,,,,,
