D Lombardia Girone D classifica marcatori in base ai punti  segnati
n°,Giocatore,Squadra,Ruolo,Anno,Cm,P.S.,P.G,Media
29,Lego Marco,Sporting Milanino,G,1982,181,222,22,"10,09"
30,Anzani,Sporting Milanino,,,,221,14,"15,79"
31,Biase Andrea,Basket Brusuglio,A,1991,192,218,22,"9,91"
32,Torriani Luca,Osal Novate,A/C,1997,203,215,26,"8,27"
33,Grassi Marco,Basket Brusuglio,G,1984,xxx,213,21,"10,14"
34,Colombo Davide,A.S.D. Mojazza,G/A/C,1994,xxx,213,26,"8,19"
35,Sala Stefano,Osal Novate,A,1997,194,207,25,"8,28"
36,Marconi Emanuele,Sporting Milanino,A/C,1982,195,207,26,"7,96"
37,Cigada Matteo,Osal Novate,P,1996,182,206,26,"7,92"
38,Stefanucci Michele,A.S.D. Mojazza,A/C,1989,xxx,205,17,"12,06"
39,Orfei Matteo,Sporting Milanino,G/A,1982,185,203,22,"9,23"
40,Favalessa Fabio,Team 86 Villasanta,G/A,1991,190,195,24,"8,13"
41,Magenga Paolo,Basket Cavenago,G,1993,180,195,26,"7,50"
42,Cipolla Stefano,Gerardiana Monza,A,1993,xxx,195,26,"7,50"
43,Rigamonti Marco,Basket Seregno,G,1995,185,190,26,"7,31"
44,Clementoni Matteo,Politecnico Milano,G,1996,185,188,14,"13,43"
45,Galbiati Alberto,Team 86 Villasanta,G,1992,187,182,26,"7,00"
46,Trabattoni Filippo,Sporting Milanino,A,1990,190,178,12,"14,83"
47,Locatelli Riccardo,Basket Cavenago,C,1992,196,176,21,"8,38"
48,Lamalfa Paolo,Basket Cavenago,A/C,1996,190,175,23,"7,61"
49,Pruni Giorgio,ASA Basket Cinisello,P/G,1991,182,173,23,"7,52"
50,Buga Andrea,ASA Basket Cinisello,P/G,1984,178,173,24,"7,21"
51,Lomuscio Alberto,Basket Seregno,G,1990,180,173,25,"6,92"
52,Farina Matteo,Basket Seregno,C,1987,199,173,25,"6,92"
53,Granata Andrea,ASA Basket Cinisello,C,1984,198,172,24,"7,17"
54,Zanussi Marco,CBBA Brugherio,C,1992,xxx,171,14,"12,21"
55,Dal Bianco Marco,CBBA Brugherio,G,1986,186,168,15,"11,20"
56,Mariani Marco,Gerardiana Monza,A/C,1993,xxx,166,25,"6,64"
57,Agostinello Stefano,ASA Basket Cinisello,P/G,1991,175,164,25,"6,56"
58,Toffoli Marco,Sporting Milanino,G,1991,183,163,14,"11,64"
59,Mari Alessandro,Basket Seregno,G,1989,183,156,22,"7,09"
60,Beretta Luigi,Forti E Liberi Monza,A/C,1985,192,151,10,"15,10"
61,Favalessa Matteo,Team 86 Villasanta,P,1999,183,149,24,"6,21"
62,Figini Andrea,Osal Novate,G,1994,184,147,24,"6,13"
63,Vitale Riccardo,A. Dil. Biassono Basket,P,1996,175,146,17,"8,59"
64,Vaiarelli Fabio,Basket Brusuglio,G,1986,xxx,143,22,"6,50"
65,Giraldo Marco,A. Dil. Biassono Basket,A/C,1986,197,143,23,"6,22"
66,Chessa Alessandro,Politecnico Milano,G,1991,183,137,13,"10,54"
67,Majerna Fabrizio,San Giuseppe Arese,P,1983,180,137,24,"5,71"
68,Marin Davide,San Giuseppe Arese,P,1994,175,136,22,"6,18"
69,Levati Marco,Gerardiana Monza,P,1993,xxx,135,24,"5,63"
70,Calloni Nicola,CBBA Brugherio,P/G,1988,xxx,134,11,"12,18"
71,Brambilla Paolo,Basket Seregno,A,1981,181,134,20,"6,70"
72,Gagliardi Mauro,Osal Novate,xx,1980,xxx,132,19,"6,95"
73,Benetollo Lorenzo,Politecnico Milano,A,1993,192,130,11,"11,82"
74,Barbieri Matteo,Basket Cavenago,G/A,1987,186,130,20,"6,50"
75,Tardini Marco,Politecnico Milano,C,1992,196,129,13,"9,92"
76,Carmagnola Andrea,CBBA Brugherio,G/A,1995,xxx,129,15,"8,60"
77,Chinosi Claudio,San Giuseppe Arese,A,1985,185,129,21,"6,14"
78,Casale Daniele,Gerardiana Monza,P,1996,xxx,123,26,"4,73"
79,Casati Daniele,Team 86 Villasanta,A/C,1994,197,119,25,"4,76"
80,Brigatti Daniele,Basket Cavenago,G/A,1986,190,111,14,"7,93"
81,Cervato Stefano,A. Dil. Biassono Basket,P,1985,180,111,24,"4,63"
82,Siragusa Filippo,Team 86 Villasanta,A/C,1989,195,111,26,"4,27"
83,Colombo Giorgio,A. Dil. Biassono Basket,A,1992,192,108,15,"7,20"
84,Pagano Andrea,Basket Cavenago,P/G,1990,176,107,15,"7,13"
85,Frassoni Fabio,A. Dil. Biassono Basket,G,1986,187,106,24,"4,42"
86,Gheller Simone,San Giuseppe Arese,A,1986,187,104,17,"6,12"
87,Minoggio Matteo,A.S.D. Mojazza,P,1994,xxx,103,23,"4,48"
88,Magni Andrea,CBBA Brugherio,C,1992,xxx,101,15,"6,73"
89,Sangalli Stefano,Forti E Liberi Monza,G,1990,xxx,100,20,"5,00"
90,Mercante Emanuele,Basket Cavenago,A,1986,185,96,15,"6,40"
91,Gorla Riccardo,San Giuseppe Arese,A/C,1993,194,96,16,"6,00"
92,Gironi Andrea,CBBA Brugherio,xx,1995,xxx,95,11,"8,64"
93,Saini Marco,Team 86 Villasanta,A/C,1995,195,94,26,"3,62"
94,Rossi Emanuele,Basket Brusuglio,G,1984,xxx,92,20,"4,60"
95,Santambrogio Stefano,Gerardiana Monza,G,1991,xxx,91,24,"3,79"
96,Beretta Davide,Basket Seregno,P,1996,180,90,26,"3,46"
97,Sita Nicola,Sporting Milanino,A,1996,191,89,14,"6,36"
98,Pozzi Umberto,Osal Novate,A,1984,185,85,16,"5,31"
99,Gallucci Matteo,Forti E Liberi Monza,xx,1999,xxx,85,18,"4,72"
100,Carle Guillaume,San Giuseppe Arese,G,1998,178,85,20,"4,25"
101,Barbato Alessio,Politecnico Milano,G,1991,190,84,10,"8,40"
102,Tassini Nicola,Forti E Liberi Monza,G/A,1980,192,82,9,"9,11"
103,Spaggiari Daniele,A. Dil. Biassono Basket,G/A,1996,180,81,20,"4,05"
104,Beretta Alberto,Basket Brusuglio,P/G,1986,xxx,77,22,"3,50"
105,Brunetti Nicolò,Basket Cavenago,P/G,1990,183,72,15,"4,80"
106,Casati Luca,A. Dil. Biassono Basket,G,1993,182,70,22,"3,18"
107,Del Grosso Luca,Basket Brusuglio,A,1995,xxx,69,21,"3,29"
108,Torri Gianmatteo,Politecnico Milano,P,1990,175,68,13,"5,23"
109,Nardini Francesco,Forti E Liberi Monza,x,1999,xxx,67,19,"3,53"
110,Zaccarini Luca,A.S.D. Mojazza,G/A/C,1994,xxx,67,22,"3,05"
111,Forni Simone,San Giuseppe Arese,G,1993,179,66,10,"6,60"
112,Monea Gabriele,Forti E Liberi Monza,x,1988,xxx,65,11,"5,91"
113,Maggi Giovanni,Politecnico Milano,G/A,1988,192,64,11,"5,82"
114,Buschi Mattia,Forti E Liberi Monza,P/G,1978,180,63,12,"5,25"
115,Paolucci Andrea,Osal Novate,P/G,1997,178,63,17,"3,71"
116,Gadia Domenico,San Giuseppe Arese,C,1972,192,63,19,"3,32"
117,Losi Luca,Basket Seregno,A,1991,190,63,23,"2,74"
118,Belotti Andrea,A. Dil. Biassono Basket,G,1997,180,61,17,"3,59"
119,Petitti Lorenzo,Osal Novate,P,1994,180,61,19,"3,21"
120,Ghezzi Andrea,Gerardiana Monza,A,1994,xxx,60,24,"2,50"
121,Iuculano Paolo,Basket Cavenago,A/C,1982,187,57,12,"4,75"
122,Lecce Lorenzo,San Giuseppe Arese,G,1991,175,56,11,"5,09"
123,Manduzio Matteo,Basket Cavenago,G,1992,185,54,12,"4,50"
124,Chirico Simone,A.S.D. Mojazza,xx,1999,xxx,53,19,"2,79"
125,Di Stefano Giacomo,Basket Seregno,A,1992,188,52,26,"2,00"
126,Colombo Gabriele,ASA Basket Cinisello,A,1995,190,51,23,"2,22"
127,Massironi Alessio,CBBA Brugherio,G/A,1991,xxx,50,12,"4,17"
128,Iniziato Martino,Sporting Milanino,P,1986,178,50,23,"2,17"
129,Rota,Basket Brusuglio,,,,49,9,"5,44"
130,Sormani Riccardo,Team 86 Villasanta,G/A,1997,190,49,21,"2,33"
131,Platini Stefano,A.S.D. Mojazza,xx,1998,xxx,49,25,"1,96"
132,Catalano Matteo,CBBA Brugherio,G,1986,xxx,48,12,"4,00"
133,Schneble Federico,Forti E Liberi Monza,xx,1984,xxx,47,14,"3,36"
134,Pirovano Riccardo,A. Dil. Biassono Basket,P,1986,183,47,22,"2,14"
135,Ferrario Luca,San Giuseppe Arese,G,1995,180,45,20,"2,25"
136,Banfi Tommaso,Gerardiana Monza,P,1998,xxx,45,20,"2,25"
137,Taverna Federico,Sporting Milanino,A,1995,190,42,10,"4,20"
138,Boriotti Andrea,Basket Cavenago,G/A/C,1988,192,42,15,"2,80"
139,Basilico Filippo,Basket Brusuglio,G,1998,xxx,42,20,"2,10"
140,Noro Pablo,Basket Brusuglio,A,1993,xxx,42,22,"1,91"
141,Casalini Roberto,Politecnico Milano,G,1996,192,40,11,"3,64"
142,Negri Giovanni,A.S.D. Mojazza,G,1996,xxx,40,23,"1,74"
143,Zoboli Andrea,Sporting Milanino,A,1982,192,39,9,"4,33"
144,Pozzi Stefano,ASA Basket Cinisello,A/C,1987,202,39,12,"3,25"
145,Broglia Paolo,Politecnico Milano,G,1996,184,38,10,"3,80"
146,Smacchia Nicola,CBBA Brugherio,P,1989,xxx,38,10,"3,80"
147,Cazzaniga Alessandro,Sporting Milanino,G,1996,182,38,18,"2,11"
148,Pizzo Andrea,Gerardiana Monza,G,1994,xxx,35,13,"2,69"
149,Durali andrea,Basket Seregno,C,1994,198,34,17,"2,00"
150,Colombo T.,Osal Novate,,,,33,14,"2,36"
151,Terrana Lorenzo,Basket Seregno,A,1997,189,31,17,"1,82"
152,Lopresti,Sporting Milanino,,,,30,4,"7,50"
153,Orsi Massimiliano,CBBA Brugherio,G,1990,xxx,30,10,"3,00"
154,Ayala Vincent,Basket Brusuglio,P,1998,xxx,30,14,"2,14"
155,Piedi Mattia,Basket Seregno,G,1997,181,29,22,"1,32"
156,Arrigoni Gabriele,Gerardiana Monza,A,1994,xxx,28,10,"2,80"
157,Petrucci Stefano,Politecnico Milano,A/C,1988,195,27,4,"6,75"
158,Villa Nicolò,Osal Novate,G,1994,192,27,7,"3,86"
159,Motta,Forti E Liberi Monza,,,,27,11,"2,45"
160,Bucci Jacopo,Politecnico Milano,C,1996,195,26,12,"2,17"
161,Mazza Eros,Basket Cavenago,C,1987,190,25,3,"8,33"
162,Aiello Andrea,Sporting Milanino,A,1982,186,25,9,"2,78"
163,Brambilla Alberto,ASA Basket Cinisello,G/A,1996,191,25,10,"2,50"
164,Mauri Jacopo,Basket Cavenago,P,1995,178,25,16,"1,56"
165,Gangi Piero,A. Dil. Biassono Basket,C,1987,200,24,12,"2,00"
166,Pelucchi Tommaso,Sporting Milanino,C,1981,198,23,4,"5,75"
167,Pessina Andrea,Gerardiana Monza,G,1997,xxx,23,14,"1,64"
168,Crippa,ASA Basket Cinisello,,,,21,6,"3,50"
169,Viviani Alberto,Politecnico Milano,G/A,1995,190,21,10,"2,10"
170,Pirola Enrico,A.S.D. Mojazza,xx,1998,xxx,21,13,"1,62"
171,Capra Lorenzo,ASA Basket Cinisello,A,1995,192,21,18,"1,17"
172,Basile Mattia,Osal Novate,C,1987,200,20,12,"1,67"
173,Pontieri Francesco,Politecnico Milano,C,1996,200,19,2,"9,50"
174,Frigerio Danele,Gerardiana Monza,P/G,1994,xxx,19,16,"1,19"
175,Timossi Emanuele,CBBA Brugherio,C,1991,201,18,5,"3,60"
176,El Sissy,Basket Cavenago,x,xxxx,xxx,17,6,"2,83"
177,De Santis,Sporting Milanino,,,,17,6,"2,83"
178,Ghidini,Forti E Liberi Monza,,,,17,11,"1,55"
179,Boriani Alessandro,Sporting Milanino,G,1997,175,17,20,"0,85"
180,Franchellucci,Forti E Liberi Monza,xx,xxxx,xxx,16,12,"1,33"
181,D'Amore,Sporting Milanino,,,,15,4,"3,75"
182,Becchi Davide,Basket Brusuglio,A/C,1990,xxx,15,10,"1,50"
183,Millevoi Francesco,Politecnico Milano,C,1993,200,14,2,"7,00"
184,Lazzaroni Stefano,San Giuseppe Arese,P,1991,175,14,3,"4,67"
185,Zenatti Paolo,Politecnico Milano,P,1995,180,14,5,"2,80"
186,Vismara Filippo,Basket Cavenago,P,1998,172,14,10,"1,40"
187,Mantovani,Sporting Milanino,,,,13,9,"1,44"
188,Viganò Jacopo,A.S.D. Mojazza,G,1998,xxx,13,10,"1,30"
189,Paese Marco,Basket Cavenago,A,1986,182,12,5,"2,40"
190,Forneris Andrea,A. Dil. Biassono Basket,A,1985,190,12,10,"1,20"
191,Lovato,Osal Novate,,,,11,7,"1,57"
192,Tarabini,Osal Novate,,,,10,3,"3,33"
193,Cavallotti Luca,Forti E Liberi Monza,G,1986,178,10,4,"2,50"
194,Prati Marco,San Giuseppe Arese,P,1991,175,10,5,"2,00"
195,Pasetti Stefano,ASA Basket Cinisello,A,1985,192,10,8,"1,25"
196,Busnelli Samuele,Gerardiana Monza,P,1997,xxx,10,12,"0,83"
197,Patroni Simone,A.S.D. Mojazza,x,xxxx,xxx,9,7,"1,29"
198,Pessina Alberto,Basket Brusuglio,A,1998,xxx,9,8,"1,13"
199,Parolini,Forti E Liberi Monza,x,xxxx,xxx,7,4,"1,75"
200,Bernacchini Damiano,Basket Cavenago,A,1992,190,6,1,"6,00"
201,Dercenno Cristian,San Giuseppe Arese,A,1999,187,6,2,"3,00"
202,Molteni,Basket Cavenago,,,,6,2,"3,00"
203,Perego,Forti E Liberi Monza,,,,6,3,"2,00"
204,Giovannoni Matteo,Gerardiana Monza,P/G,1996,xxx,6,6,"1,00"
205,Pagliari Gabriele,CBBA Brugherio,A/C,1996,xxx,6,10,"0,60"
206,Foiani Lukas,Forti E Liberi Monza,xx,1991,xxx,4,1,"4,00"
207,Redaelli,Basket Seregno,,,,4,1,"4,00"
208,Lupo,Basket Cavenago,,,,4,1,"4,00"
209,Spinosa Riccardo,Basket Brusuglio,G,1999,xxx,4,4,"1,00"
210,Lanza Alessandro,Basket Cavenago,A/C,1999,195,4,5,"0,80"
211,Pistillo Marcello,ASA Basket Cinisello,P,1995,168,4,8,"0,50"
212,Villa Federico,A. Dil. Biassono Basket,A/C,1996,193,4,9,"0,44"
213,Cavalletti,Sporting Milanino,,,,3,1,"3,00"
214,Lo Piparo,Basket Cavenago,,,,3,1,"3,00"
215,Marchese,Sporting Milanino,,,,3,3,"1,00"
216,Fernandes,Osal Novate,,,,2,1,"2,00"
217,Castignano,Basket Cavenago,,,,2,1,"2,00"
218,Iudica Alessandro,Osal Novate,A,1983,195,2,2,"1,00"
219,Frustagli,A.S.D. Mojazza,x,xxxx,xxx,2,4,"0,50"
220,Tosatori Andrea,Sporting Milanino,A,1996,188,2,5,"0,40"
221,Picelli,ASA Basket Cinisello,,,,2,8,"0,25"
222,Piccinini Carlo,Sporting Milanino,P,1989,178,1,1,"1,00"
223,Colombo Mattia,San Giuseppe Arese,P,1999,173,1,2,"0,50"
224,Fajoui,Team 86 Villasanta,,,,1,3,"0,33"
225,Falgari Marco,Sporting Milanino,P,1993,175,1,3,"0,33"
226,Castiglioni Niccolò,Osal Novate,A,1997,192,1,5,"0,20"
,,,,,,,,
D Lombardia Girone D classifica marcatori in  base alla media giornate punti segnati
n°,Giocatore,Squadra,Ruolo,Anno,Cm,P.S.,P.G,Media
1,De Pasquale Manuel,A.S.D. Mojazza,P/G,1989,xxx,487,26,"18,73"
2,Romanò Alessandro,A.S.D. Mojazza,G,1988,xxx,382,22,"17,36"
3,Passero Davide,Basket Seregno,G,1994,181,391,24,"16,29"
4,Semoli Teobaldo,Basket Seregno,P,1986,185,319,20,"15,95"
5,Anzani,Sporting Milanino,,,,221,14,"15,79"
6,Ferrara Luca,Gerardiana Monza,A,1994,xxx,350,23,"15,22"
7,Beretta Luigi,Forti E Liberi Monza,A/C,1985,192,151,10,"15,10"
8,Trabattoni Filippo,Sporting Milanino,A,1990,190,178,12,"14,83"
9,Rigon Davide,Gerardiana Monza,A/C,1995,xxx,329,23,"14,30"
10,Riccardi Luca,Forti E Liberi Monza,xx,1990,xxx,359,26,"13,81"
11,Ciccone Stefano,Osal Novate,A,1987,190,355,26,"13,65"
12,Clementoni Matteo,Politecnico Milano,G,1996,185,188,14,"13,43"
13,Protti Stefano,ASA Basket Cinisello,G,1987,186,306,23,"13,30"
14,Montagna Roberto,ASA Basket Cinisello,A,1983,192,252,19,"13,26"
15,Sala Alberto,A. Dil. Biassono Basket,A,1992,195,311,24,"12,96"
16,Binaghi Mauro,San Giuseppe Arese,A/C,1974,194,280,22,"12,73"
17,Marin Daniele,San Giuseppe Arese,G,1995,181,269,22,"12,23"
18,Zanussi Marco,CBBA Brugherio,C,1992,xxx,171,14,"12,21"
19,Arosio Luca,A. Dil. Biassono Basket,A,1986,191,293,24,"12,21"
20,Calloni Nicola,CBBA Brugherio,P/G,1988,xxx,134,11,"12,18"
,,,,,,,,
