"C Lombardia Gold Girone A classifica marcatori in base ai punti
  segnati"
35,De Piccoli Ezio,Cistellum Cislago,C,1974,197,290,30,"9,67"
36,Zambelli Federico,NP Gordon Olginate,P,1990,180,286,30,"9,53"
37,Squarcina Nicolò,Pallacanestro Lissone,C,1983,202,285,24,"11,88"
38,Cappellari Andrea,7 Laghi Gazzada,A,1983,193,284,30,"9,47"
39,Colnago Paolo,Pallacanestro Bernareggio,P,1991,188,274,27,"10,15"
40,Meroni Leo,Carpe Diem Calolziocorte,P/G,1989,190,274,29,"9,45"
41,Bertoglio Nicola,Cistellum Cislago,G/A,1993,187,274,30,"9,13"
42,Saini Federico,Pallacanestro Bernareggio,A/C,1992,200,271,30,"9,03"
43,Pecchia Andrea,Pallacanestro Bernareggio,G/A,1997,194,270,22,"12,27"
44,Danelutti Julien Enrico,Ass. Dil. Pol. Lierna,A/C,1988,198,270,27,"10,00"
45,Bisosgnin Stefano,Arcisate Valceresio,A/C,1992,199,268,30,"8,93"
46,Pitton Fabio,Hydrotherm Casorate,P,1993,182,267,26,"10,27"
47,Merlati Andrea,Pallacanestro Bernareggio,x,x,xxx,266,29,"9,17"
48,Preatoni Vittorio,Hydrotherm Casorate,A,1992,193,265,30,"8,83"
49,Molteni Marco,Ass. Dil. Pol. Lierna,A/C,1983,197,264,28,"9,43"
50,Villa Francesco,Pallacanestro Bernareggio,G,1997,185,262,27,"9,70"
51,Tedoldi Marco,OSL Resistor Garbagnate,A,1994,188,259,28,"9,25"
52,Formentini Filippo,Pallacanestro Lissone,G,1988,195,256,26,"9,85"
53,Rulli Gualtiero,Arcisate Valceresio,G,1993,188,255,28,"9,11"
54,Vanzulli Vittorio,Nervianese 1919,G/A,1989,190,254,30,"8,47"
55,Clerici Matteo,7 Laghi Gazzada,A/C,1992,195,250,28,"8,93"
56,Iurato Carmelo,Ass. Dil. Pol. Lierna,G,1994,182,247,29,"8,52"
57,Villa Lorenzo,Virtus Cermenate,A,1995,200,247,30,"8,23"
58,Leva Matteo,Robur Saronno,G,1989,187,242,30,"8,07"
59,Zattra Davide,Arcisate Valceresio,C,1994,201,241,30,"8,03"
60,Hudson Johanathan,Nelson Somma Lombardo, , , ,240,11,"21,82"
61,Minoli Tommaso,Robur Saronno,P,1984,185,240,30,"8,00"
62,Viganò Claudio,Pallacanestro Lissone,G,1993,185,238,27,"8,81"
63,Padova Andrea,Nelson Somma Lombardo,G/A,1989,190,237,26,"9,12"
64,Passoni Marcello,Ass. Dil. Pol. Lesmo,P,1989,177,237,27,"8,78"
65,Tonella Simone,OSL Resistor Garbagnate,P/G,1988,190,236,30,"7,87"
66,Cacciani Stefano,Robur Saronno,A,1984,197,229,20,"11,45"
67,Guffanti Andrea,Robur Saronno,G/A,1987,190,229,28,"8,18"
68,Villa Nicholas,Ass. Dil. Pol. Lierna,P,1995,185,228,29,"7,86"
69,Fornara Enrico,Nervianese 1919,G,1997,188,224,23,"9,74"
70,Rondena Federico,Nervianese 1919,P,1981,186,223,16,"13,94"
71,Rusconi Martino,Carpe Diem Calolziocorte,A,1995,191,223,29,"7,69"
72,Fabbricotti Matteo,Posal Sesto,G,1995,190,221,24,"9,21"
73,Cappellotto Francesco,Nervianese 1919,C,1983,200,221,29,"7,62"
74,Cantarin Stefano,Posal Sesto,A,1993,191,218,30,"7,27"
75,Broggi Mattia,Virtus Cermenate,P,1992,180,218,30,"7,27"
76,Tavola Diego,NP Gordon Olginate,G,1985,185,217,29,"7,48"
77,Bonvino Matteo,Virtus Cermenate,A,1995,196,217,30,"7,23"
78,Meroni Marco,Virtus Cermenate,C,1993,202,210,27,"7,78"
79,Lepri Jacopo,7 Laghi Gazzada,P,1995,180,209,20,"10,45"
80,Riva Ivan ,NP Gordon Olginate,A,1983,200,209,23,"9,09"
81,Spertini Roberto,7 Laghi Gazzada,P,1986,186,207,25,"8,28"
82,Testa Filippo,7 Laghi Gazzada,G,1997,188,206,29,"7,10"
83,Bergna Luca,Ass. Dil. Pol. Lierna,A/C,1982,196,204,29,"7,03"
84,Eriforio Luca,Cistellum Cislago,G,1991,195,197,27,"7,30"
85,Papatolo Nunzio,Virtus Cermenate,G,1987,186,197,29,"6,79"
86,Picazio Pierpaolo,Hydrotherm Casorate, , , ,195,14,"13,93"
87,Carpani Silvio,Ass. Dil. Pol. Lierna,G,1989,186,194,29,"6,69"
88,Fontana Davide,Virtus Cermenate,G/A,1996,190,193,29,"6,66"
89,Bellotti Luca,Robur Saronno,P,1993,181,191,24,"7,96"
90,Rodenas Sanchez Ximo,Nelson Somma Lombardo,G,1990,188,189,13,"14,54"
91,Cesana Gabriele,Carpe Diem Calolziocorte,A,1986,192,189,17,"11,12"
92,Parietti Matteo,Cistellum Cislago,P,1991,180,188,28,"6,71"
93,Radovanovic Bojan,Ass. Dil. Pol. Lesmo,C,1978,202,187,26,"7,19"
94,Collini Riccardo,Pallacanestro Lissone,C,1990,201,186,29,"6,41"
95,Castagnetti Ulisse,Nelson Somma Lombardo,A/C,1987,202,183,26,"7,04"
96,Meroni Paolo,Carpe Diem Calolziocorte,P/G,1990,194,182,14,"13,00"
97,Gurioli Gianluca,Posal Sesto,G,1983,191,182,24,"7,58"
98,Filippi Michele,Carpe Diem Calolziocorte,G/A,1981,190,173,20,"8,65"
99,Portaluppi Nicolò,Hydrotherm Casorate,G,1991,186,170,28,"6,07"
100,Moraghi Alessandro,7 Laghi Gazzada,C,1983,197,162,18,"9,00"
101,Fedrigo Giacomo,7 Laghi Gazzada,A,1990,196,158,29,"5,45"
102,Giacchetta Loris,Carpe Diem Calolziocorte,C,1992,207,157,20,"7,85"
103,Maina Roberto,OSL Resistor Garbagnate,A/C,1986,194,155,28,"5,54"
104,Montalbetti Matteo,OSL Resistor Garbagnate,A/C,1990,194,154,28,"5,50"
105,Darwish Omar,Posal Sesto,C,1990,198,154,29,"5,31"
106,Biganzoli Daniele,Arcisate Valceresio,P/G,1971,187,151,30,"5,03"
107,Restelli Lorenzo,Pallacanestro Bernareggio,G,1996,192,141,28,"5,04"
108,Cappellari Alberto,Nervianese 1919,P/G,1988,188,140,25,"5,60"
109,Cazzaniga Stefano,Ass. Dil. Pol. Lesmo,G,1995,186,137,25,"5,48"
110,Toffali Davide,Pallacanestro Bernareggio,G,1998,193,135,20,"6,75"
111,Turano Federico,Hydrotherm Casorate,G,1996,185,134,25,"5,36"
112,Floreano Daniele,Carpe Diem Calolziocorte,A,1989,190,133,27,"4,93"
113,Maffezzoli Matteo Alessio,Nelson Somma Lombardo,P,1991,180,132,25,"5,28"
114,Ruzzon Andrea,Pallacanestro Lissone,A,1994,195,126,30,"4,20"
115,Marusic Stefano,Hydrotherm Casorate,P,1995,188,125,30,"4,17"
116,Angiolini Alberto,Pallacanestro Bernareggio,P/G,1973,188,117,30,"3,90"
117,Di Giovanni Stefano,Nelson Somma Lombardo,P,1993,188,115,20,"5,75"
118,Lanzani Alessandro,Robur Saronno,A,1982,193,114,28,"4,07"
119,Bianchi Omar,Virtus Cermenate,C,1996,201,114,30,"3,80"
120,Ponchiroli Federico,Cistellum Cislago,C,1984,195,113,28,"4,04"
121,Galletti Mattia,Ass. Dil. Pol. Lesmo,G,1996,185,113,30,"3,77"
122,Gambaro Gabriele,Hydrotherm Casorate,A,1988, ,109,18,"6,06"
123,Beretta Matteo,NP Gordon Olginate,C,1987,202,109,30,"3,63"
124,Vescovi Edoardo,Arcisate Valceresio,G/A,1996,190,108,29,"3,72"
125,Mondello John Carmelo,Arcisate Valceresio,A/C,1989,198,105,18,"5,83"
126,Tornari Matteo,Virtus Cermenate,P/G,1995,175,104,25,"4,16"
127,Capaccioli Luca,Posal Sesto,A,1991,188,102,14,"7,29"
128,Grassi Andrea,Posal Sesto,C,1994,198,101,27,"3,74"
129,Loughlimi Mohamed,Hydrotherm Casorate, , , ,97,8,"12,13"
130,Mladjenovic Marko,Pallacanestro Lissone,C,1998,201,97,26,"3,73"
131,Gualco Michele,Arcisate Valceresio,A,1995,195,97,28,"3,46"
132,Medolago Claudio,Pallacanestro Lissone,G,1997,193,96,13,"7,38"
133,Gorla Jacopo,Robur Saronno,G,1996,182,96,22,"4,36"
134,Amicucci Valerio,Posal Sesto,G/A,1986,185,95,10,"9,50"
135,Vercesi Davide,Pallacanestro Bernareggio,G,1997,192,91,29,"3,14"
136,Mantica Fabrizio,Nervianese 1919,A/C,1993,197,87,29,"3,00"
137,Battistini Tommaso,Arcisate Valceresio,G,1995,180,87,30,"2,90"
138,Aceti Oscar,Robur Saronno,G,1989,187,86,22,"3,91"
139,Moretti Mattia,OSL Resistor Garbagnate,A/C,1990,195,84,23,"3,65"
140,Furlanetto Luca,Robur Saronno,G,1981,xxx,77,10,"7,70"
141,Barella Andrea,OSL Resistor Garbagnate,A,1989,191,73,29,"2,52"
142,Gugliotta Oscar,Virtus Cermenate, , , ,71,11,"6,45"
143,Pastori Manuel,Pallacanestro Bernareggio,A/C,1996,201,70,23,"3,04"
144,Somaschini Elia,7 Laghi Gazzada,G/A,1992,190,69,27,"2,56"
145,Saibene Nicolò,Cistellum Cislago,G,1993,182,68,26,"2,62"
146,Casati Luca,NP Gordon Olginate,A,1989,192,64,26,"2,46"
147,Banchelli Carlo,Pallacanestro Lissone,G,1998,181,63,17,"3,71"
148,Casati Andrea,NP Gordon Olginate,G,1992,187,59,8,"7,38"
149,Rigamonti Pietro,OSL Resistor Garbagnate,P,1998,180,57,21,"2,71"
150,Marrazzo Giacomo,Ass. Dil. Pol. Lierna,G,1997,xxx,55,15,"3,67"
151,Bracci Jonas,Nelson Somma Lombardo,C,1996,204,55,25,"2,20"
152,Bigoni Jacopo,Cistellum Cislago,P,1995,180,46,24,"1,92"
153,Castoldi Luca,Ass. Dil. Pol. Lierna,C,1986,200,46,25,"1,84"
154,Siragusa Stefano,Ass. Dil. Pol. Lesmo,G/A,1994,190,44,25,"1,76"
155,Grimaldi Stefano,Nervianese 1919,P/G,1987,186,43,11,"3,91"
156,Terzi Luca,Posal Sesto,A,1995,190,43,21,"2,05"
157,Pirola Alessandro,Ass. Dil. Pol. Lesmo,P,1994,184,42,28,"1,50"
158,Giovanelli Matteo,NP Gordon Olginate,P/G,1983,186,39,6,"6,50"
159,Bordignon Livio,Hydrotherm Casorate,C,1984,197,36,21,"1,71"
160,Gnecchi Lorenzo,Carpe Diem Calolziocorte,G,1995,192,36,21,"1,71"
161,Carzaniga Matteo,Ass. Dil. Pol. Lesmo,G,1997,181,35,12,"2,92"
162,Ripamonti Jacopo,OSL Resistor Garbagnate,P,1994,178,33,12,"2,75"
163,Pirovano Nicolò,Carpe Diem Calolziocorte,A,1996,188,33,23,"1,43"
164,Schmidt Jonas Christian,Pallacanestro Lissone,x,xxxx,xxx,32,5,"6,40"
165,Aromando Simone,Pallacanestro Bernareggio,G,1997,190,32,20,"1,60"
166,Riva Marco,Pallacanestro Lissone,A,1988,196,31,10,"3,10"
167,Filic Nikola,Nelson Somma Lombardo, , , ,31,11,"2,82"
168,Perego Marco,Posal Sesto,P,1971,180,31,16,"1,94"
169,Corbetta Andrea,Pallacanestro Lissone,P,1997,180,27,24,"1,13"
170,Kapedani Ermal,Hydrotherm Casorate,C,1985,207,25,7,"3,57"
171,Ventura Roberto,Pallacanestro Lissone,A,1998,194,25,13,"1,92"
172,Longo,Nelson Somma Lombardo, , , ,24,5,"4,80"
173,Assui Kouakou Ben,Arcisate Valceresio,C, ,202,24,8,"3,00"
174,Bologna Nicola,Arcisate Valceresio,P/G,1997,180,23,12,"1,92"
175,Ardizzone Davide,Posal Sesto, , , ,19,7,"2,71"
176,Iannaccio Stefano,OSL Resistor Garbagnate,G/A,1992,191,19,16,"1,19"
177,Ruzzon Francesco,Posal Sesto,C,xxxx,xxx,18,14,"1,29"
178,Rondena Silvio,Nervianese 1919, , , ,16,1,"16,00"
179,Mornati Filippo,Pallacanestro Lissone,x,xxxx,xxx,15,9,"1,67"
180,Clemente Andrea,Posal Sesto,G,1995,186,15,14,"1,07"
181,Paonessa Alessandro,Carpe Diem Calolziocorte,P,1996,180,15,19,"0,79"
182,Pizzarelli Emanuele,Nervianese 1919,P/G,1996,186,14,16,"0,88"
183,Milani Lorenzo,OSL Resistor Garbagnate,G/A,1996,185,12,5,"2,40"
184,Valsecchi Gabriele,NP Gordon Olginate,P,1996,176,12,6,"2,00"
185,Fiorendi Andrea,Ass. Dil. Pol. Lierna,P/G,1980,185,12,10,"1,20"
186,Li Volsi Andrea,Posal Sesto,P,1997,177,12,16,"0,75"
187,Bessi Federico,Nelson Somma Lombardo,P,1994,175,11,12,"0,92"
188,Croci Andrea,Nervianese 1919,P/G,1996,184,10,11,"0,91"
189,Legnani Dario,Virtus Cermenate,A,1996,190,9,5,"1,80"
190,Pelusi Alessandro,Nervianese 1919,G/A,1996,189,9,7,"1,29"
191,Beri Federico,Arcisate Valceresio,A,1997,197,9,9,"1,00"
192,Garota Giacomo,Ass. Dil. Pol. Lierna,A,1997,xxx,9,14,"0,64"
193,Anzini,Hydrotherm Casorate, , , ,8,3,"2,67"
194,Grimoldi Alberto,Pallacanestro Lissone,P,1998,178,7,5,"1,40"
195,Cesarani Andrea,Hydrotherm Casorate,C,1997,195,7,6,"1,17"
196,Bologna Matteo,7 Laghi Gazzada,A,1998,190,7,9,"0,78"
197,Vanoni Lorenzo,Arcisate Valceresio,G,1997,190,7,12,"0,58"
198,Morse Denerick,Pallacanestro Lissone, , , ,6,3,"2,00"
199,Giovanzana Andrea,Carpe Diem Calolziocorte,G,1996,188,6,7,"0,86"
200,Ceriani Federico,Cistellum Cislago,C,1996,196,6,10,"0,60"
201,Barbera Lorenzo,Hydrotherm Casorate,G,1996,184,5,4,"1,25"
202,Proserpio Paolo,Robur Saronno,A,1996,xxx,5,5,"1,00"
203,Nebuloni,Nervianese 1919, , , ,4,2,"2,00"
204,Pasinato Andrea,Robur Saronno,G,2001,xxx,4,3,"1,33"
205,Romanato L.,Ass. Dil. Pol. Lesmo, , , ,4,5,"0,80"
206,Deluca Davide,Pallacanestro Lissone,A,1988,193,4,8,"0,50"
207,Rizzo,7 Laghi Gazzada, , , ,3,1,"3,00"
208,Longo Alessandro,Nelson Somma Lombardo,A,1996,185,3,6,"0,50"
209,Viscusi Cristian,Ass. Dil. Pol. Lesmo,G,1998,182,3,10,"0,30"
210,Cerri Alessandro,Robur Saronno,x,1999,xxx,2,1,"2,00"
211,Mamelli,Hydrotherm Casorate, , , ,2,1,"2,00"
212,Dalla Costa Thomas,Hydrotherm Casorate,A, , ,2,2,"1,00"
213,Semplici Andrea Carlo,Pallacanestro Lissone,A,1998,xxx,2,5,"0,40"
214,Chiapparo Alessandro,7 Laghi Gazzada,G,2001,xxx,2,8,"0,25"
215,Pacchetti Stefano,OSL Resistor Garbagnate,C,1980,193,1,6,"0,17"
 , , , , , , , , 
"C  Lombardia Gold  Girone A classifica marcatori in base alla
  media giornate  punti segnati"
n°,Giocatore,Squadra,Ruolo,Anno,Cm ,P.S.,P.G,Media
1,Hudson Johanathan,Nelson Somma Lombardo, , , ,240,11,"21,82"
2,Allegri Alessio,OSL Resistor Garbagnate,G/A,1982,192,542,29,"18,69"
3,Villa Gabriele,Ass. Dil. Pol. Lesmo,C,1985,200,334,18,"18,56"
4,Arui Alessandro,OSL Resistor Garbagnate,P/G,1991,180,397,24,"16,54"
5,Bassani Andrea,NP Gordon Olginate,C,1989,200,496,30,"16,53"
6,Cogliati Emiliano,Posal Sesto,P/G,1994,180,480,30,"16,00"
7,Rondena Silvio,Nervianese 1919, , , ,16,1,"16,00"
8,Aliprandi Andrea,Ass. Dil. Pol. Lesmo,A,1994,195,449,29,"15,48"
9,Ballarate Matteo,Ass. Dil. Pol. Lierna,G,1989,191,432,28,"15,43"
10,Donadoni Alessio,Pallacanestro Lissone,P,1997,193,446,30,"14,87"
11,Navarro Roberto Corona,Nelson Somma Lombardo,G,1991,186,366,25,"14,64"
12,Rodenas Sanchez Ximo,Nelson Somma Lombardo,G,1990,188,189,13,"14,54"
13,Gurioli Alessandro,Robur Saronno,A,1987,195,431,30,"14,37"
14,Cattaneo Andrea,Cistellum Cislago,A/C,1989,198,429,30,"14,30"
15,Terzaghi Manuel,Arcisate Valceresio,A,1992,201,392,28,"14,00"
16,Rondena Federico,Nervianese 1919,P,1981,186,223,16,"13,94"
17,Picazio Pierpaolo,Hydrotherm Casorate, , , ,195,14,"13,93"
18,Roppo Simone,Cistellum Cislago,G,1989,190,411,30,"13,70"
19,Longoni Alessandro,Virtus Cermenate,A,1995,194,390,29,"13,45"
20,Azzimonti Edoardo,Nelson Somma Lombardo,C,1988,200,335,25,"13,40"
,,,,,,,,
