C  Lombardia Girone C classifica marcatori in base ai punti segnati,
""
n°,Giocatore,Squadra,Ruolo,P.S.,P.G,Media,
97,Galluccio Nicolas (94),Pall. Verbano Luino,A/C,146,27,"5,41",
98,Bucossi Riccardo (82),Basket Seregno ASD,C,145,27,"5,37",
99,Chiodaroli Diego  (82),Cistellum Cislago,A,144,28,"5,14",
100,Calcagno Marco (94),Pall. Verbano Luino,C,142,15,"9,47",
101,Tornari Matteo (95),Virtus Cermenate,P/G,141,30,"4,70",
102,Losa Riccardo (94),Rovello Basket,G/A,139,27,"5,15",
103,Gorini Andrea (81),Basket Bosto Varese,P/G,138,16,"8,63",
104,Bordignon Livio  (84),G.S. Casoratese,C,138,28,"4,93",
105,Gurioli Gianluca (83),Cistellum Cislago,A,137,13,"10,54",
106,Cardani Gianluca (92),Virtus Cermenate,G,137,24,"5,71",
107,Corengia Stefano (94),Basket Seregno ASD,G,137,24,"5,71",
108,Bianchi Carlo (82),Basket Cassano Magnago,G/A,137,26,"5,27",
109,Malberti Mattia (94),Virtus Cermenate,A,136,17,"8,00",
110,Amadio Daniele (84),Rovello Basket,G,136,23,"5,91",
111,Bosello Davide (94),G.S. Casoratese,A,134,25,"5,36",
112,Marusic Stefano (95),ASD Olimpia Cadorago,P,126,25,"5,04",
113,Barella Andrea (89),O.S.L. Garbagnate,A,126,26,"4,85",
114,Frigerio Andrea (82),Basket Seregno ASD,P,118,16,"7,38",
115,Tarabini Matteo (86),Pol. Ardor Bollate,C,116,26,"4,46",
116,Borghi Giorgio (92),Rovello Basket,A,116,27,"4,30",
117,Febbrini Francesco (93),Pol. Ardor Bollate,G,113,23,"4,91",
118,Gatto Cristian (96),BasketBall Gallarate,A,108,25,"4,32",
119,Moscatelli Marco (93),Rovello Basket,G/A,104,25,"4,16",
120,Lazzati Emanuele (82),Pol. Ardor Bollate,G,103,23,"4,48",
121,Brighina Alexandro (82),Basket Bosto Varese,P/G,100,15,"6,67",
122,Cattaneo Cristian (96),Sportlandia Tradate,A,100,19,"5,26",
123,Pastori Jacopo (95),Pall. Cerro Maggiore,C,98,26,"3,77",
124,Missoni Ottavio  (84),Basket Bosto Varese,C,97,22,"4,41",
125,Franzini Andrea  (86),Pall. Verbano Luino,A,96,7,"13,71",
126,Gentile Stefano  (91),BasketBall Gallarate,G,94,23,"4,09",
127,Farina Matteo (87),Basket Seregno ASD,C,94,28,"3,36",
128,Mitrano Luca (96),Pol. Ardor Bollate,G,94,29,"3,24",
129,Manfrè Alessio (87),Pall. Verbano Luino,P/G,93,22,"4,23",
130,Meraviglia Andrea  (83),Cistellum Cislago,C,92,29,"3,17",
131,De Prati Carcereri Simone (95),Basket Seregno ASD,G,88,25,"3,52",
132,Colombo Riccardo (84),Nuovo Basket Groane,C,86,13,"6,62",
133,Marotto Leonardo (95),Basket Bosto Varese,P/G,86,27,"3,19",
134,Porro Nicholas (86),Rovello Basket,A/C,85,28,"3,04",
135,Bernardi,Basket Seregno ASD,,82,13,"6,31",
136,Sassi Manuel (89),Pol. Ardor Bollate,G,82,19,"4,32",
137,Cola Francesco (84),BasketBall Gallarate,A,82,27,"3,04",
138,Canavesi Luca (89),BasketBall Gallarate,A/C,80,8,"10,00",
139,Rigamonti Marco (95),Polisportiva Lierna,G,78,28,"2,79",
140,Mancini Stefano  (84),G.S. Casoratese,P,77,24,"3,21",
141,Fossati Davide (90),Basket Seregno ASD,C,75,21,"3,57",
142,Cesana Paolo (93),ASD Olimpia Cadorago,C,74,10,"7,40",
143,Ripamonti Jacopo  (94),O.S.L. Garbagnate,P,73,29,"2,52",
144,Marcon Davide (93),Pall. Cerro Maggiore,G,69,24,"2,88",
145,Bartesaghi Matteo (92),Nuovo Basket Groane,A,58,15,"3,87",
146,Acerbi Andrea (93),Sportlandia Tradate,G,58,21,"2,76",
147,Colombo Oscar (95),Pall. Verbano Luino,P/G,58,24,"2,42",
148,Gagliardi Edoardo (94),Sportlandia Tradate,P,57,27,"2,11",
149,Ciccullo Marco (93),Pall. Verbano Luino,A,54,15,"3,60",
150,Negri Luca (93),Polisportiva Lierna,A,53,19,"2,79",
151,Iannaccio Stefano (92),O.S.L. Garbagnate,G/A,53,20,"2,65",
152,Calloni Roberto (94),Pol. Ardor Bollate,A/C,50,13,"3,85",
153,Avduli Endri (94),Polisportiva Lierna,A,50,22,"2,27",
154,Morandi Francesco  (94),Cistellum Cislago,G,47,19,"2,47",
155,Barbera Lorenzo  (96),G.S. Casoratese,G,46,24,"1,92",
156,Gorla Tommaso (93),ASD Olimpia Cadorago,G,45,19,"2,37",
157,Erba Davide (95),Rovello Basket,C,45,23,"1,96",
158,Mitrano Roberto (93),Pol. Ardor Bollate,G,44,19,"2,32",
159,Bianchi Federico (96),Rovello Basket,A/C,44,20,"2,20",
160,Marku Forget (92),BasketBall Gallarate,C,41,17,"2,41",
161,De Vita Gianmarco (97),BasketBall Gallarate,A,40,8,"5,00",
162,Zanatta Marco (81),Basket Bosto Varese,C,40,13,"3,08",
163,Caglio Federico (94),Polisportiva Lierna,P/G,40,15,"2,67",
164,Bianchi Omar (96),Virtus Cermenate,C,40,24,"1,67",
165,Gugliotta Oscar (82),ASD Olimpia Cadorago,A,38,4,"9,50",
166,Sandrinelli Luca (97),Basket Bosto Varese,A,37,9,"4,11",
167,Pigoli Roberto (91),Basket Seregno ASD,A,37,16,"2,31",
168,Boniforti Federico  (93),Pall. Cerro Maggiore,C,37,19,"1,95",
169,Cecco Paolo (84),Pall. Verbano Luino,A/C,35,15,"2,33",
170,Peruzzi Alessandro (95),Pall. Verbano Luino,G,35,26,"1,35",
171,Grieco Federico (95),Basket Bosto Varese,A/C,34,23,"1,48",
172,Cattaneo Alberto (82),ASD Olimpia Cadorago,C,31,20,"1,55",
173,Brambilla Filippo (95),Nuovo Basket Groane,P,29,20,"1,45",
174,Restelli Alessandro (97),ASD Olimpia Cadorago,G,28,14,"2,00",
175,Quaglia Marcello (96),BasketBall Gallarate,P,26,19,"1,37",
176,Churato Paolo (98),ASD Olimpia Cadorago,P,25,13,"1,92",
177,Bonesini Lorenzo (94),Pall. Cerro Maggiore,G,24,10,"2,40",
178,Traore William (94),Pol. Ardor Bollate,C,24,13,"1,85",
179,Bigoni,Cistellum Cislago,,23,10,"2,30",
180,Redaelli Francesco (85),Polisportiva Lierna,A/C,22,10,"2,20",
181,Dalla Valle Gabriele  (95),Basket Cassano Magnago,G,21,15,"1,40",
182,Figuriello Jacopo  (96),Sportlandia Tradate,P,21,18,"1,17",
183,Gravena Pedro (97),Pol. Ardor Bollate,,20,7,"2,86",
184,Battistini Tommaso (95),Basket Bosto Varese,G,20,9,"2,22",
185,Bonicalzi Marco (95),Basket Cassano Magnago,G/A,18,10,"1,80",
186,Leontini,G.S. Casoratese,A,17,12,"1,42",
187,Angeretti Mauro (93),Nuovo Basket Groane,G,16,5,"3,20",
188,Butti Marcello (96),Polisportiva Lierna,P,16,19,"0,84",
189,Maiocchi Davide (95),G.S. Casoratese,A,15,6,"2,50",
190,Piotto (97),Pol. Ardor Bollate,,15,8,"1,88",
191,Gottardello Alessandro (93),Sportlandia Tradate,C,15,18,"0,83",
192,Passarini (94),Pol. Ardor Bollate,,14,7,"2,00",
193,Rebughini Davide (92),Polisportiva Lierna,G,13,10,"1,30",
194,De Santi Andrea (96),Pall. Verbano Luino,GA,12,4,"3,00",
195,Vitella Luca,Pall. Verbano Luino,P/G,11,8,"1,38",
196,Puricelli Matteo (97),Basket Cassano Magnago,G,11,14,"0,79",
197,Pacchetti Stefano  (80),O.S.L. Garbagnate,C,11,20,"0,55",
198,Turconi Alessandro (79),Pall. Verbano Luino,P/G,10,7,"1,43",
199,Pedemonte Alessandro (84),BasketBall Gallarate,P/G,9,4,"2,25",
200,Longoni Paolo (77),Basket Seregno ASD,C,9,7,"1,29",
201,Nobili Giulio (84),Basket Seregno ASD,G,8,1,"8,00",
202,Colella Alessandro  (96),O.S.L. Garbagnate,A,8,10,"0,80",
203,Dugo,Nuovo Basket Groane,,8,10,"0,80",
204,Pagny Daniele (96),BasketBall Gallarate,C,7,5,"1,40",
205,Gallian Davide (96),BasketBall Gallarate,P,7,10,"0,70",
206,Zucchetti,Pol. Ardor Bollate,,6,1,"6,00",
207,Bellora Matteo (95),BasketBall Gallarate,C,6,6,"1,00",
208,Giani,Basket Seregno ASD,,5,2,"2,50",
209,Monteggia Mattia (93),Pall. Verbano Luino,P/G,5,3,"1,67",
210,Tomasini Luca (97),BasketBall Gallarate,G,5,7,"0,71",
211,Holley Rome (81),ASD Olimpia Cadorago,P,4,5,"0,80",
212,Ripamonti P.,O.S.L. Garbagnate,,4,8,"0,50",
213,Di Prenda Matteo (95),ASD Olimpia Cadorago,C,4,10,"0,40",
214,Chimini,Pall. Verbano Luino,,3,1,"3,00",
215,Milani,O.S.L. Garbagnate,,3,4,"0,75",
216,Carettoni Daniele (83),G.S. Casoratese,C,3,6,"0,50",
217,Filoni Andrea (95),Cistellum Cislago,A,3,8,"0,38",
218,Presentazzi Alessandro (94),Basket Bosto Varese,G/A,3,8,"0,38",
219,Galliani Fabio (96),Nuovo Basket Groane,G,3,11,"0,27",
220,Qorri alex (96),Basket Seregno ASD,G/A,2,2,"1,00",
221,Bna,Cistellum Cislago,,2,2,"1,00",
222,Ghirelli Francesco (97),Nuovo Basket Groane,G,2,3,"0,67",
223,Gabatel,Basket Seregno ASD,,2,4,"0,50",
224,Ghirelli Andrea (96),Nuovo Basket Groane,G,2,4,"0,50",
225,Sampietro Fabio (98),ASD Olimpia Cadorago,G,2,6,"0,33",
226,Piatti Carlo (94),Basket Bosto Varese,G/A,2,7,"0,29",
227,Zambotto,Basket Cassano Magnago,,1,1,"1,00",
228,Bordignon Francesco (97),Basket Cassano Magnago,P,1,10,"0,10",
229,Gnecchi Davide (95),Polisportiva Lierna,G/A,1,15,"0,07",
C  Lombardia Girone C classifica marcatori in base alla media punti partite -  primi 20 giocatori,
""
n°,Giocatore,Squadra,Ruolo,P.S.,P.G,Media,
1,Azzimonti Edoardo  (88),G.S. Casoratese,C,595,30,"19,83",
2,Allegri Alessio  (82),O.S.L. Garbagnate,G/A,576,30,"19,20",
3,Lombardi Paolo (80),Basket Bosto Varese,P/G,480,26,"18,46",
4,Ciardello Luca (84),BasketBall Gallarate,G,495,30,"16,50",
5,Moscatelli Simone (78),ASD Olimpia Cadorago,C,310,19,"16,32",
6,Corona Navarro Rob. (91),G.S. Casoratese,G,452,28,"16,14",
7,Cattaneo Andrea  (89),Cistellum Cislago,A,483,30,"16,10",
8,Arui Alessandro (91)),O.S.L. Garbagnate,P/G,482,30,"16,07",
9,Gianotti Davide (90),Basket Seregno ASD,G/A,437,28,"15,61",
10,Roppo Simone (89),Cistellum Cislago,G,411,27,"15,22",
11,Grampa Matteo (91),Virtus Cermenate,P,447,30,"14,90",
12,Parietti Matteo  (91),Cistellum Cislago,P,268,18,"14,89",
13,Bernasconi Andrea (84),Sportlandia Tradate,C,416,28,"14,86",
14,Riley Jarred (89),ASD Olimpia Cadorago,C,148,10,"14,80",
15,Bianchi Stefano  (94),BasketBall Gallarate,P,442,30,"14,73",
16,Mapelli Giorgio  (78),Basket Cassano Magnago,A,374,26,"14,38",
17,Molteni Marco (83),Polisportiva Lierna,A/C,365,26,"14,04",
18,Franzini Andrea  (86),Pall. Verbano Luino,A,96,7,"13,71",
19,Bianchi Antonio (85),Basket Cassano Magnago,G,257,19,"13,53",
20,Pagani Davide (87),Nuovo Basket Groane,P,391,29,"13,48",
