C  Lombardia Girone A classifica marcatori in base ai punti segnati,
""
n°,Giocatore,Squadra,Ruolo,P.S.,P.G,Media,
40,Mazzoleni Pietro (82),Fortitudo Busnago,A,261,28,"9,32",
41,Borghi Gianluigi (82),CSA Agrate Brianza,A,260,27,"9,63",
42,Parsani Mattia  (88),XXL Bergamo,G,255,30,"8,50",
43,Prettato Cristian   (82),Bellini Gorle,A,255,30,"8,50",
44,Pasqualin Marco (97),Blu Orobica Bergamo,P/G,254,23,"11,04",
45,Semoli Teobaldo (86),Di.Po. Vimercate,G,254,28,"9,07",
46,Comerio Alessandro   (93),Persico Seriana,P/G,251,20,"12,55",
47,Agostini Stefano   (78),G.S.A. Basket Sarezzo,A,247,26,"9,50",
48,Galbarini Marco   (85),Sansebasket Cremona,P,241,29,"8,31",
49,Roberti Marco  (85),CMPi  Pizzighettone,P,240,30,"8,00",
50,Trovati Matteo  (91),Sansebasket Cremona,A,239,16,"14,94",
51,Armanni Marco  (84),Romano Lombardo Basket,P,238,30,"7,93",
52,Beretta Eugenio (96),Blu Orobica Bergamo,C,235,24,"9,79",
53,Simeoni Lorenzo (87),AS Dil Viadana Basket,C,235,28,"8,39",
54,Orlandi Matteo  (93),Persico Seriana,P/G,235,28,"8,39",
55,Locatelli Marco (85),XXL Bergamo,A/C,231,29,"7,97",
56,Simoncini Daniele   (93),NBB Brescia,P/G,229,16,"14,31",
57,Cozzi Mirko  (81),Romano Lombardo Basket,A,227,26,"8,73",
58,Candela Simone (87),G.S.A. Basket Sarezzo,A,227,29,"7,83",
59,Gualandris Luca   (84),Romano Lombardo Basket,G,227,29,"7,83",
60,Ferri Andrea (96),Blu Orobica Bergamo,G,227,30,"7,57",
61,Buzzini Roberto (95),Fortitudo Busnago,P,214,21,"10,19",
62,Turner Liki Lamont (89),Bellini Gorle,A,213,11,"19,36",
63,Mussoni Alessandro (86),Lic Verolanuova,C,212,30,"7,07",
64,Houmane Saad Ben (92),G.S.A. Basket Sarezzo,G/A,207,29,"7,14",
65,Montagnosi Luca   (88),XXL Bergamo,P/G,204,20,"10,20",
66,Moretti Mattia  (93),Sansebasket Cremona,C,203,27,"7,52",
67,Bassi Leonardo (97),Blu Orobica Bergamo,A,202,24,"8,42",
68,Permon Pietro (96),Blu Orobica Bergamo,G,202,27,"7,48",
69,De Guzman Mike  (93),Virtus Lumezzane,P/G,194,30,"6,47",
70,Stagnati Gabriele (92),Asola Basket Lions,A/C,194,30,"6,47",
71,Toffetti Alessandro   (81),CSA Agrate Brianza,G,193,28,"6,89",
72,Colombo Ruggero (87),Persico Seriana,A/C,185,29,"6,38",
73,Ciocca Pierluigi (79),CSA Agrate Brianza,A/C,183,27,"6,78",
74,Bertini Luca  (92),NBB Brescia,P/G,181,24,"7,54",
75,Barzaghi Saul  (77),CSA Agrate Brianza,A/C,178,22,"8,09",
76,Prati Alberto (94),AS Dil Viadana Basket,C,178,26,"6,85",
77,Boccafurni Eugenio (97),Bellini Gorle,A,177,26,"6,81",
78,Cipelletti Luca   (90),CMPi  Pizzighettone,P,177,30,"5,90",
79,Comparelli Pablo   (81),CMPi  Pizzighettone,A,173,25,"6,92",
80,Battistini Leonardo (95),NBB Brescia,A,171,10,"17,10",
81,Franzosi Davide   (94),Asola Basket Lions,G,171,29,"5,90",
82,Perdon Daniele (95),Di.Po. Vimercate,A,169,30,"5,63",
83,Veronesi Filippo (95),Virtus Lumezzane,A,169,30,"5,63",
84,Daminelli Marco   (90),CSA Agrate Brianza,P,168,21,"8,00",
85,Gibellini Nicola   (91),Persico Seriana,G,166,29,"5,72",
86,Rota Riccardo  (88),CSA Agrate Brianza,G,164,28,"5,86",
87,Bonomi Alessandro (93),Fortitudo Busnago,A,162,25,"6,48",
88,Pezzali Alessandro (97),NBB Brescia,P,160,25,"6,40",
89,Borghetti Marco (96),Virtus Lumezzane,P/G,160,30,"5,33",
90,Carzaniga Tommaso (93),Di.Po. Vimercate,G,159,19,"8,37",
91,Carrera Alessandro (87),Romano Lombardo Basket,P/G,156,17,"9,18",
92,Danelli Giovanni (95),Fortitudo Busnago,G/A,154,27,"5,70",
93,Rakic Nemanja  (96),NBB Brescia,P/G,152,28,"5,43",
94,Biffi Matteo (83),Fortitudo Busnago,P/G,151,22,"6,86",
95,Bertuzzi Corrado   (92),CMPi  Pizzighettone,P/G,151,30,"5,03",
96,Spinelli Giordano (81),Di.Po. Vimercate,C,150,26,"5,77",
97,Steccanella Matteo (89),AS Dil Viadana Basket,A/C,150,27,"5,56",
98,Ardesi Stefano  (74),Virtus Lumezzane,G,150,30,"5,00",
99,Perego Davide (96),Blu Orobica Bergamo,A,148,29,"5,10",
100,Degli Agosti Francesco (81),Sansebasket Cremona,P,146,27,"5,41",
101,Orsatti Massimo   (83),Lic Verolanuova,P,144,23,"6,26",
102,Cogliati Raffaele (83),CSA Agrate Brianza,A,143,13,"11,00",
103,Nani Matteo (97),Blu Orobica Bergamo,P,143,27,"5,30",
104,Gurioli Gianluca (83),CSA Agrate Brianza,A,141,16,"8,81",
105,Rossi Matteo  (88),Lic Verolanuova,G,141,25,"5,64",
106,Roversi Massimiliano   (76),NBB Brescia,A/C,139,25,"5,56",
107,Arosio Daniele (91),Fortitudo Busnago,C,129,28,"4,61",
108,Sironi Alberto  (94),XXL Bergamo,A,129,28,"4,61",
109,Ubbiali Sergio (94),Persico Seriana,P,129,29,"4,45",
110,Galimberti Alessio (92),Di.Po. Vimercate,G,128,23,"5,57",
111,Simoni Marco  (87),Asola Basket Lions,G,125,26,"4,81",
112,Milanesi Andrea (91),Virtus Lumezzane,P,121,29,"4,17",
113,Viola Riccardo  (91),Sansebasket Cremona,P,119,18,"6,61",
114,Calloni Pietro  (88),CSA Agrate Brianza,P/G,119,23,"5,17",
115,Apollonio Luca (95),Lic Verolanuova,P/G,116,25,"4,64",
116,Piantoni Roberto   (94),Persico Seriana,A/C,113,29,"3,90",
117,Budassi Ettore (96),Sansebasket Cremona,A,112,26,"4,31",
118,Padova Alessandro   (81),XXL Bergamo,C,110,26,"4,23",
119,Dieye Papa Malick   (95),Lic Verolanuova,A/C,109,28,"3,89",
120,Brunelli Luca  (95),NBB Brescia,G/A,108,21,"5,14",
121,Motta Davide (95),CSA Agrate Brianza,G,108,29,"3,72",
122,Dessì  Nicholas (98),Blu Orobica Bergamo,P/G,106,19,"5,58",
123,Rossi Michael (95),AS Dil Viadana Basket,G,97,27,"3,59",
124,Bertocchi Mattia (97),Blu Orobica Bergamo,C,96,29,"3,31",
125,Ghidinelli Simone   (94),G.S.A. Basket Sarezzo,G/A,94,28,"3,36",
126,Ambrosi Gabriele  (96),NBB Brescia,A,93,16,"5,81",
127,Barcella Manuel   (82),Romano Lombardo Basket,C,92,28,"3,29",
128,Locatelli Alberto   (83),Bellini Gorle,P,92,29,"3,17",
129,Antoniazzi Manuel   (94),Sansebasket Cremona,A,91,28,"3,25",
130,Piva Dario (94),CSA Agrate Brianza,A/C,90,26,"3,46",
131,Ghislandi Thomas (94),Romano Lombardo Basket,A,88,29,"3,03",
132,Farinatti Luca,CSA Agrate Brianza,A,87,12,"7,25",
133,Rossi Federico (95),CMPi  Pizzighettone,P,86,30,"2,87",
134,Servegnini Stefano (95),CMPi  Pizzighettone,A/C,82,29,"2,83",
135,Augeri Enrico (95),Di.Po. Vimercate,P,81,30,"2,70",
136,Scazzola Luca  (94),G.S.A. Basket Sarezzo,A/C,76,21,"3,62",
137,Gori Marcello  (87),Asola Basket Lions,G/A,76,23,"3,30",
138,Carzaniga Matteo (93),Di.Po. Vimercate,P,75,7,"10,71",
139,Foschetti Manuel   (91),Asola Basket Lions,A/C,71,27,"2,63",
140,Zanlucchi Stefano (88),XXL Bergamo,A,70,17,"4,12",
141,Franzosi Pietro   (96),Asola Basket Lions,G/A,64,25,"2,56",
142,Zanoli Giancarlo   (82),Lic Verolanuova,G,63,23,"2,74",
143,Campanini Matteo   (94),Sansebasket Cremona,P/G,62,26,"2,38",
144,Nava Gabriele (91),Fortitudo Busnago,G,60,17,"3,53",
145,Brunelli Marco (99),NBB Brescia,G/A,59,18,"3,28",
146,Colpani Alexander (96),NBB Brescia,G,59,22,"2,68",
147,Corno Michele (82),Fortitudo Busnago,P/G,58,17,"3,41",
148,Flisi Davide (87),AS Dil Viadana Basket,A,58,24,"2,42",
149,De Ruvo Mattia (94),NBB Brescia,G/A,56,4,"14,00",
150,Maccari Davide  (94),Bellini Gorle,G,55,23,"2,39",
151,Benatti Andrea (91),AS Dil Viadana Basket,A,55,26,"2,12",
152,Giardini Leonardo (95),Di.Po. Vimercate,A/C,51,22,"2,32",
153,Colombo Marco (97),Blu Orobica Bergamo,P,51,27,"1,89",
154,Asamoah Benjamin   (94),Virtus Lumezzane,G,48,10,"4,80",
155,Cortinovis Cristian (98),Persico Seriana,G,47,17,"2,76",
156,Santambrogio Simone (95),Di.Po. Vimercate,G,47,27,"1,74",
157,Gerelli Giuseppe Nicola   (82),Lic Verolanuova,A/C,42,20,"2,10",
158,Viganò Claudio (93),Di.Po. Vimercate,G,41,3,"13,67",
159,Gomma Alberto (95),Di.Po. Vimercate,A,39,10,"3,90",
160,Guazzato Davide (81),Fortitudo Busnago,C,39,19,"2,05",
161,Saletti Stefano (97),NBB Brescia,A,38,10,"3,80",
162,Tognazzi Davide   (95),G.S.A. Basket Sarezzo,G,36,25,"1,44",
163,Zucchetti Giovanni   (95),Bellini Gorle,A,35,30,"1,17",
164,Feroldi Marco  (96),G.S.A. Basket Sarezzo,P,34,22,"1,55",
165,Arosio Filippo (96),Di.Po. Vimercate,G,33,20,"1,65",
166,Sartori Francesco   (94),XXL Bergamo,G,32,17,"1,88",
167,Salvini Daniele (96),CMPi  Pizzighettone,G/A,32,19,"1,68",
168,Capelli Riccardo (97),XXL Bergamo,P,32,22,"1,45",
169,Mezzanotte Andrea (98),Blu Orobica Bergamo,A,30,13,"2,31",
170,Catellani Alessandro (87),AS Dil Viadana Basket,P,28,7,"4,00",
171,Bellazzi Alessandro   (93),Romano Lombardo Basket,P,26,10,"2,60",
172,Gatti Mattia  (96),CMPi  Pizzighettone,G,25,20,"1,25",
173,Sogni Alessandro (95),AS Dil Viadana Basket,P,24,14,"1,71",
174,Monzio Compagnoni L. (96),XXL Bergamo,G,22,19,"1,16",
175,Arizzi Alessandro   (80),Persico Seriana,G,21,18,"1,17",
176,Rovetta Gabriele (98),Persico Seriana,G/A,21,18,"1,17",
177,Banfi Davide  (84),Persico Seriana,A,20,4,"5,00",
178,Gobbi Roberto  (96),G.S.A. Basket Sarezzo,G,20,15,"1,33",
179,Giuri Giovanni (79),Virtus Lumezzane,C,20,17,"1,18",
180,Caroli,NBB Brescia, ,19,2,"9,50",
181,Torreggiani Federico (84),AS Dil Viadana Basket,A,19,13,"1,46",
182,Minini Dario (96),Lic Verolanuova,C,18,11,"1,64",
183,Malgarini Numa  (79),Romano Lombardo Basket,C,17,4,"4,25",
184,Minò Andrea  (93),XXL Bergamo,A,16,6,"2,67",
185,Sala Tommaso (79),Fortitudo Busnago,A,16,8,"2,00",
186,Andreoli Nicola   (97),Asola Basket Lions,G,16,17,"0,94",
187,Turelli Matteo (97),Blu Orobica Bergamo,C,15,5,"3,00",
188,Bertoni Andrea  (95),G.S.A. Basket Sarezzo,A,14,12,"1,17",
189,Borozenets Nikita (96),CMPi  Pizzighettone,G/A,13,13,"1,00",
190,Antonelli Nicolò (98),NBB Brescia, ,12,11,"1,09",
191,Ponzi Matteo (96),AS Dil Viadana Basket,A,12,17,"0,71",
192,Pasini Giulio  (98),NBB Brescia,G,9,7,"1,29",
193,Gadda Alex (97),Fortitudo Busnago,P,8,8,"1,00",
194,Galati Francesco (97),Fortitudo Busnago,G,7,8,"0,88",
195,Colombo Andrea (84),Bellini Gorle,G/A,7,9,"0,78",
196,Savesi,Virtus Lumezzane, ,6,5,"1,20",
197,Frigerio Andrea (96),Sansebasket Cremona,C,6,10,"0,60",
198,Testa Marco  (94),Persico Seriana,P/G,6,10,"0,60",
199,Nyonse Berthol (98),NBB Brescia,A,6,11,"0,55",
200,Angeloni Fabio (97),Bellini Gorle,P,6,20,"0,30",
201,Lui,Asola Basket Lions, ,5,5,"1,00",
202,Ceresera Luca (97),NBB Brescia,G/A,4,2,"2,00",
203,Farella Mario (95),Virtus Lumezzane,A,4,5,"0,80",
"C  Lombardia Girone A classifica marcatori in base alla media punti - partite,  primi 20 giocatori",
""
n°,Giocatore,Squadra,Ruolo,P.S.,P.G,Media,
1,Benassi Andrea    (82),Persico Seriana,G,430,22,"19,55",
2,Turner Liki Lamont (89),Bellini Gorle,A,213,11,"19,36",
3,Caramatti Renè (90),Virtus Lumezzane,G/A,565,30,"18,83",
4,Accini Denis (86),Sansebasket Cremona,G,516,29,"17,79",
5,Marelli Davide  (91),G.S.A. Basket Sarezzo,A,479,28,"17,11",
6,Battistini Leonardo (95),NBB Brescia,A,171,10,"17,10",
7,Bossini Thomas  (85),Virtus Lumezzane,G/A,512,30,"17,07",
8,Pedrini Simone  (86),CMPi  Pizzighettone,A/C,506,30,"16,87",
9,Altimani Davide (90),AS Dil Viadana Basket,A,431,27,"15,96",
10,Pairone Nicolas   (87),CMPi  Pizzighettone,A,462,30,"15,40",
11,Trovati Matteo  (91),Sansebasket Cremona,A,239,16,"14,94",
12,Deme Mambaye Diallo   (93),Lic Verolanuova,A/C,447,30,"14,90",
13,Pesenti Marco  (83),G.S.A. Basket Sarezzo,G,427,29,"14,72",
14,Grazzi Andrea (81),AS Dil Viadana Basket,A,390,27,"14,44",
15,Simoncini Daniele   (93),NBB Brescia,P/G,229,16,"14,31",
16,De Ruvo Mattia (94),NBB Brescia,G/A,56,4,"14,00",
17,Viganò Claudio (93),Di.Po. Vimercate,G,41,3,"13,67",
18,Corona Cristian   (80),Asola Basket Lions,C,396,29,"13,66",
19,Mason Jacopo  (93),NBB Brescia,P/G,408,30,"13,60",
20,Crepaz Matteo (89),Lic Verolanuova,G,394,30,"13,13",
